"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,-1.8816e-12,5.6666e-13,0,-6.8546e-13,-3.5631e-29,-2.0221e-29,1.6947e-12,-6.7781e-32,-7.3384e-32,0,-1.9722e-31,0,0,-4.4738,-0.65451,-1.5385,-1.0693,-5.5584e-17,-3.1545e-17,3.9655,-2.0404,1,0,0,0.00125,0
-1.774e-17,-2.2972e-17,0,-2.9165e-25,0,0,0,0,0,-1.88e-12,5.6686e-13,0,-6.8438e-13,-3.5418e-29,-2.0024e-29,1.6934e-12,-1.774e-17,-2.2972e-17,0,-2.9166e-25,0,0,-4.4691,-0.65203,-1.5363,-1.0676,-5.5252e-17,-3.1237e-17,3.9625,-2.0387,1,1e-05,1e-05,0.00125,0
-3.548e-17,-4.5944e-17,0,-5.8331e-25,0,0,0,0,0,-1.8783e-12,5.6705e-13,0,-6.8329e-13,-3.5204e-29,-1.9827e-29,1.6921e-12,-3.548e-17,-4.5944e-17,0,-5.8331e-25,0,0,-4.4643,-0.64956,-1.5342,-1.0659,-5.4919e-17,-3.093e-17,3.9594,-2.037,1,2e-05,2e-05,0.00125,0
-5.322e-17,-6.8917e-17,0,-8.7496e-25,0,0,0,0,0,-1.8767e-12,5.6725e-13,0,-6.822e-13,-3.4991e-29,-1.963e-29,1.6908e-12,-5.322e-17,-6.8916e-17,0,-8.7497e-25,0,0,-4.4596,-0.64709,-1.532,-1.0642,-5.4586e-17,-3.0622e-17,3.9564,-2.0354,1,3e-05,3e-05,0.00125,0
-7.096e-17,-9.1889e-17,0,-1.1666e-24,0,0,0,0,0,-1.875e-12,5.6745e-13,0,-6.8112e-13,-3.4777e-29,-1.9433e-29,1.6895e-12,-7.096e-17,-9.1889e-17,0,-1.1666e-24,0,0,-4.4548,-0.64461,-1.5298,-1.0625,-5.4253e-17,-3.0315e-17,3.9533,-2.0337,1,4e-05,4e-05,0.00125,0
-8.87e-17,-1.1486e-16,0,-1.4583e-24,0,0,0,0,0,-1.8733e-12,5.6764e-13,0,-6.8003e-13,-3.4564e-29,-1.9235e-29,1.6882e-12,-8.87e-17,-1.1486e-16,0,-1.4583e-24,0,0,-4.4501,-0.64214,-1.5277,-1.0609,-5.392e-17,-3.0007e-17,3.9503,-2.032,1,5e-05,5e-05,0.00125,0
-1.0644e-16,-1.3783e-16,0,-1.7499e-24,0,0,0,0,0,-1.8717e-12,5.6784e-13,0,-6.7894e-13,-3.4351e-29,-1.9038e-29,1.6869e-12,-1.0644e-16,-1.3783e-16,0,-1.7499e-24,0,0,-4.4453,-0.63967,-1.5255,-1.0592,-5.3587e-17,-2.97e-17,3.9473,-2.0303,1,6e-05,6e-05,0.00125,0
-1.2418e-16,-1.6081e-16,0,-2.0416e-24,0,0,0,0,0,-1.87e-12,5.6804e-13,0,-6.7786e-13,-3.4137e-29,-1.8841e-29,1.6856e-12,-1.2418e-16,-1.6081e-16,0,-2.0416e-24,0,0,-4.4406,-0.63719,-1.5233,-1.0575,-5.3254e-17,-2.9392e-17,3.9442,-2.0287,1,7e-05,7e-05,0.00125,0
-1.4192e-16,-1.8378e-16,0,-2.3332e-24,0,0,0,0,0,-1.8684e-12,5.6823e-13,0,-6.7677e-13,-3.3924e-29,-1.8644e-29,1.6843e-12,-1.4192e-16,-1.8378e-16,0,-2.3332e-24,0,0,-4.4358,-0.63472,-1.5212,-1.0558,-5.2921e-17,-2.9084e-17,3.9412,-2.027,1,8e-05,8e-05,0.00125,0
-1.5966e-16,-2.0675e-16,0,-2.6249e-24,0,0,0,0,0,-1.8667e-12,5.6843e-13,0,-6.7569e-13,-3.3711e-29,-1.8447e-29,1.683e-12,-1.5966e-16,-2.0675e-16,0,-2.6249e-24,0,0,-4.4311,-0.63225,-1.519,-1.0541,-5.2589e-17,-2.8777e-17,3.9381,-2.0253,1,9e-05,9e-05,0.00125,0
-1.774e-16,-2.2972e-16,0,-2.9166e-24,0,0,0,0,0,-1.8651e-12,5.6863e-13,0,-6.746e-13,-3.3497e-29,-1.825e-29,1.6817e-12,-1.774e-16,-2.2972e-16,0,-2.9166e-24,0,0,-4.4263,-0.62977,-1.5168,-1.0524,-5.2256e-17,-2.8469e-17,3.9351,-2.0236,1,0.0001,0.0001,0.00125,0
-1.9514e-16,-2.5269e-16,0,-3.2082e-24,0,0,0,0,0,-1.8634e-12,5.6882e-13,0,-6.7351e-13,-3.3284e-29,-1.8052e-29,1.6804e-12,-1.9514e-16,-2.5269e-16,0,-3.2082e-24,0,0,-4.4216,-0.6273,-1.5147,-1.0507,-5.1923e-17,-2.8162e-17,3.932,-2.022,1,0.00011,0.00011,0.00125,0
-2.1288e-16,-2.7567e-16,0,-3.4999e-24,0,0,0,0,0,-1.8618e-12,5.6902e-13,0,-6.7243e-13,-3.307e-29,-1.7855e-29,1.6791e-12,-2.1288e-16,-2.7567e-16,0,-3.4999e-24,0,0,-4.4168,-0.62483,-1.5125,-1.049,-5.159e-17,-2.7854e-17,3.929,-2.0203,1,0.00012,0.00012,0.00125,0
-2.3062e-16,-2.9864e-16,0,-3.7915e-24,0,0,0,0,0,-1.8601e-12,5.6922e-13,0,-6.7134e-13,-3.2857e-29,-1.7658e-29,1.6778e-12,-2.3062e-16,-2.9864e-16,0,-3.7915e-24,0,0,-4.4121,-0.62236,-1.5103,-1.0473,-5.1257e-17,-2.7547e-17,3.926,-2.0186,1,0.00013,0.00013,0.00125,0
-2.4836e-16,-3.2161e-16,0,-4.0832e-24,0,0,0,0,0,-1.8584e-12,5.6941e-13,0,-6.7025e-13,-3.2644e-29,-1.7461e-29,1.6765e-12,-2.4836e-16,-3.2161e-16,0,-4.0832e-24,0,0,-4.4073,-0.61988,-1.5082,-1.0456,-5.0924e-17,-2.7239e-17,3.9229,-2.0169,1,0.00014,0.00014,0.00125,0
-2.661e-16,-3.4458e-16,0,-4.3748e-24,0,0,0,0,0,-1.8568e-12,5.6961e-13,0,-6.6917e-13,-3.243e-29,-1.7264e-29,1.6752e-12,-2.661e-16,-3.4458e-16,0,-4.3748e-24,0,0,-4.4026,-0.61741,-1.506,-1.0439,-5.0591e-17,-2.6932e-17,3.9199,-2.0153,1,0.00015,0.00015,0.00125,0
-2.8384e-16,-3.6755e-16,0,-4.6665e-24,0,0,0,0,0,-1.8551e-12,5.698e-13,0,-6.6808e-13,-3.2217e-29,-1.7067e-29,1.6739e-12,-2.8384e-16,-3.6755e-16,0,-4.6665e-24,0,0,-4.3978,-0.61494,-1.5038,-1.0422,-5.0259e-17,-2.6624e-17,3.9168,-2.0136,1,0.00016,0.00016,0.00125,0
-3.0158e-16,-3.9053e-16,0,-4.9581e-24,0,0,0,0,0,-1.8535e-12,5.7e-13,0,-6.6699e-13,-3.2004e-29,-1.687e-29,1.6726e-12,-3.0158e-16,-3.9053e-16,0,-4.9581e-24,0,0,-4.3931,-0.61246,-1.5017,-1.0405,-4.9926e-17,-2.6316e-17,3.9138,-2.0119,1,0.00017,0.00017,0.00125,0
-3.1932e-16,-4.135e-16,0,-5.2498e-24,0,0,0,0,0,-1.8518e-12,5.702e-13,0,-6.6591e-13,-3.179e-29,-1.6672e-29,1.6713e-12,-3.1932e-16,-4.135e-16,0,-5.2498e-24,0,0,-4.3883,-0.60999,-1.4995,-1.0388,-4.9593e-17,-2.6009e-17,3.9108,-2.0102,1,0.00018,0.00018,0.00125,0
-3.3706e-16,-4.3647e-16,0,-5.5414e-24,0,0,0,0,0,-1.8502e-12,5.7039e-13,0,-6.6482e-13,-3.1577e-29,-1.6475e-29,1.67e-12,-3.3706e-16,-4.3647e-16,0,-5.5414e-24,0,0,-4.3836,-0.60752,-1.4973,-1.0371,-4.926e-17,-2.5701e-17,3.9077,-2.0086,1,0.00019,0.00019,0.00125,0
