"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6689e-19,-1.1426e-19,-6.8695e-36,1.6689e-19,-1.1426e-19,-6.8695e-36,0,0,0,3.4967e-17,-1.2902e-17,0,-2.0569e-18,5.8921e-34,-2.0133e-33,2.8893e-17,1.29e-19,-8.5384e-20,-1.3739e-35,1.29e-19,-8.5384e-20,-1.3739e-35,8.0364e-05,5.6893e-06,2.5816e-05,-3.2088e-06,9.1918e-22,-3.1408e-21,6.761e-05,3.8017e-05,1,0,0,0.09,0
2.3404e-19,-1.5654e-19,-4.7784e-36,2.3404e-19,-1.5654e-19,-4.7784e-36,0,0,0,3.4937e-17,-1.3024e-17,0,-1.9255e-18,5.0856e-34,-1.6712e-33,2.8908e-17,1.9994e-19,-1.3055e-19,-1.0961e-35,1.9994e-19,-1.3055e-19,-1.0961e-35,8.014e-05,5.3212e-06,2.5638e-05,-3.0038e-06,7.9336e-22,-2.607e-21,6.7644e-05,3.7865e-05,1,0.002,0.002,0.09,0
3.0119e-19,-1.9882e-19,-2.6873e-36,3.0119e-19,-1.9882e-19,-2.6873e-36,0,0,0,3.4907e-17,-1.3146e-17,0,-1.7941e-18,4.2791e-34,-1.329e-33,2.8922e-17,2.7088e-19,-1.7572e-19,-8.1829e-36,2.7088e-19,-1.7572e-19,-8.1829e-36,7.9916e-05,4.9532e-06,2.5461e-05,-2.7988e-06,6.6754e-22,-2.0733e-21,6.7679e-05,3.7714e-05,1,0.004,0.004,0.09,0
3.6833e-19,-2.411e-19,-5.9616e-37,3.6833e-19,-2.411e-19,-5.9616e-37,0,0,0,3.4877e-17,-1.3268e-17,0,-1.6627e-18,3.4726e-34,-9.8686e-34,2.8937e-17,3.4181e-19,-2.2088e-19,-5.4048e-36,3.4181e-19,-2.2088e-19,-5.4048e-36,7.9691e-05,4.5851e-06,2.5283e-05,-2.5938e-06,5.4173e-22,-1.5395e-21,6.7713e-05,3.7562e-05,1,0.006,0.006,0.09,0
4.3548e-19,-2.8338e-19,1.495e-36,4.3548e-19,-2.8338e-19,1.495e-36,0,0,0,3.4847e-17,-1.339e-17,0,-1.5313e-18,2.6661e-34,-6.447e-34,2.8952e-17,4.1275e-19,-2.6605e-19,-2.6267e-36,4.1275e-19,-2.6605e-19,-2.6267e-36,7.9467e-05,4.2171e-06,2.5105e-05,-2.3888e-06,4.1591e-22,-1.0057e-21,6.7747e-05,3.741e-05,1,0.008,0.008,0.09,0
5.0263e-19,-3.2566e-19,3.5861e-36,5.0263e-19,-3.2566e-19,3.5861e-36,0,0,0,3.4817e-17,-1.3512e-17,0,-1.3998e-18,1.8596e-34,-3.0254e-34,2.8966e-17,4.8368e-19,-3.1122e-19,1.5133e-37,4.8368e-19,-3.1122e-19,1.5133e-37,7.9243e-05,3.849e-06,2.4927e-05,-2.1838e-06,2.901e-22,-4.7196e-22,6.7781e-05,3.7259e-05,1,0.01,0.01,0.09,0
5.6977e-19,-3.6794e-19,5.6772e-36,5.6977e-19,-3.6794e-19,5.6772e-36,0,0,0,3.4787e-17,-1.3634e-17,0,-1.2684e-18,1.0531e-34,3.9622e-35,2.8981e-17,5.5462e-19,-3.5638e-19,2.9294e-36,5.5462e-19,-3.5638e-19,2.9294e-36,7.9018e-05,3.481e-06,2.475e-05,-1.9788e-06,1.6428e-22,6.181e-23,6.7816e-05,3.7107e-05,1,0.012,0.012,0.09,0
6.3692e-19,-4.1021e-19,7.7683e-36,6.3692e-19,-4.1021e-19,7.7683e-36,0,0,0,3.4758e-17,-1.3756e-17,0,-1.137e-18,2.4657e-35,3.8178e-34,2.8996e-17,6.2556e-19,-4.0155e-19,5.7075e-36,6.2556e-19,-4.0155e-19,5.7075e-36,7.8794e-05,3.1129e-06,2.4572e-05,-1.7738e-06,3.8464e-23,5.9558e-22,6.785e-05,3.6955e-05,1,0.014,0.014,0.09,0
7.0407e-19,-4.5249e-19,9.8595e-36,7.0407e-19,-4.5249e-19,9.8595e-36,0,0,0,3.4728e-17,-1.3878e-17,0,-1.0056e-18,-5.5994e-35,7.2394e-34,2.901e-17,6.9649e-19,-4.4672e-19,8.4856e-36,6.9649e-19,-4.4672e-19,8.4856e-36,7.8569e-05,2.7449e-06,2.4394e-05,-1.5688e-06,-8.7351e-23,1.1294e-21,6.7884e-05,3.6804e-05,1,0.016,0.016,0.09,0
7.7121e-19,-4.9477e-19,1.1951e-35,7.7121e-19,-4.9477e-19,1.1951e-35,0,0,0,3.4698e-17,-1.4e-17,0,-8.7421e-19,-1.3664e-34,1.0661e-33,2.9025e-17,7.6743e-19,-4.9188e-19,1.1264e-35,7.6743e-19,-4.9188e-19,1.1264e-35,7.8345e-05,2.3768e-06,2.4217e-05,-1.3638e-06,-2.1317e-22,1.6631e-21,6.7918e-05,3.6652e-05,1,0.018,0.018,0.09,0
