"D:0","D:1","D:2","DD:0","DD:1","DD:2","U:0","U:1","U:2","epsilon:0","epsilon:1","epsilon:2","epsilon:3","epsilon:4","epsilon:5","epsilonEq","pointD:0","pointD:1","pointD:2","pointDD:0","pointDD:1","pointDD:2","sigma:0","sigma:1","sigma:2","sigma:3","sigma:4","sigma:5","sigmaEq","sigmaHyd","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,7.4738e-07,-1.4356e-07,0,2.5163e-05,5.2021e-21,-5.2995e-21,9.3642e-05,-7.7012e-23,9.8369e-23,0,-7.7012e-23,9.8369e-23,0,1.8464e+05,47581,69674,3.8712e+06,8.0032e-10,-8.1531e-10,2.161e+07,6415,1,0,0,0.05,0
3.6417e-10,-2.3943e-07,0,3.6417e-10,-2.3943e-07,0,0,0,0,8.0315e-07,-1.7553e-07,0,2.1856e-05,5.0861e-21,-5.0574e-21,9.2938e-05,3.6403e-10,-2.3943e-07,0,3.6403e-10,-2.3943e-07,0,1.9597e+05,45410,72422,3.3624e+06,7.8247e-10,-7.7806e-10,2.1447e+07,19805,1,0.002,0.002,0.05,0
7.2835e-10,-4.7887e-07,0,7.2835e-10,-4.7887e-07,0,0,0,0,8.5892e-07,-2.0751e-07,0,1.8549e-05,4.9701e-21,-4.8152e-21,9.2234e-05,7.2805e-10,-4.7887e-07,0,7.2805e-10,-4.7887e-07,0,2.073e+05,43239,75171,2.8536e+06,7.6463e-10,-7.408e-10,2.1285e+07,33196,1,0.004,0.004,0.05,0
1.0925e-09,-7.183e-07,0,1.0925e-09,-7.183e-07,0,0,0,0,9.1468e-07,-2.3948e-07,0,1.5242e-05,4.8541e-21,-4.573e-21,9.153e-05,1.0921e-09,-7.183e-07,0,1.0921e-09,-7.183e-07,0,2.1863e+05,41068,77919,2.3449e+06,7.4678e-10,-7.0354e-10,2.1122e+07,46586,1,0.006,0.006,0.05,0
1.4567e-09,-9.5773e-07,0,1.4567e-09,-9.5773e-07,0,0,0,0,9.7045e-07,-2.7145e-07,0,1.1935e-05,4.7381e-21,-4.3308e-21,9.0825e-05,1.4561e-09,-9.5773e-07,0,1.4561e-09,-9.5773e-07,0,2.2996e+05,38897,80668,1.8361e+06,7.2894e-10,-6.6628e-10,2.096e+07,59977,1,0.008,0.008,0.05,0
1.8209e-09,-1.1972e-06,0,1.8209e-09,-1.1972e-06,0,0,0,0,1.0262e-06,-3.0343e-07,0,8.6275e-06,4.6221e-21,-4.0886e-21,9.0121e-05,1.8201e-09,-1.1972e-06,0,1.8201e-09,-1.1972e-06,0,2.413e+05,36725,83417,1.3273e+06,7.1109e-10,-6.2902e-10,2.0797e+07,73367,1,0.01,0.01,0.05,0
2.185e-09,-1.4366e-06,0,2.185e-09,-1.4366e-06,0,0,0,0,1.082e-06,-3.354e-07,0,5.3205e-06,4.5061e-21,-3.8464e-21,8.9417e-05,2.1842e-09,-1.4366e-06,0,2.1842e-09,-1.4366e-06,0,2.5263e+05,34554,86165,8.1854e+05,6.9325e-10,-5.9176e-10,2.0635e+07,86758,1,0.012,0.012,0.05,0
2.5492e-09,-1.676e-06,0,2.5492e-09,-1.676e-06,0,0,0,0,1.1378e-06,-3.6738e-07,0,2.0135e-06,4.3901e-21,-3.6043e-21,8.8713e-05,2.5482e-09,-1.676e-06,0,2.5482e-09,-1.676e-06,0,2.6396e+05,32383,88914,3.0977e+05,6.754e-10,-5.545e-10,2.0472e+07,1.0015e+05,1,0.014,0.014,0.05,0
2.9134e-09,-1.9155e-06,0,2.9134e-09,-1.9155e-06,0,0,0,0,1.1935e-06,-3.9935e-07,0,-1.2935e-06,4.2741e-21,-3.3621e-21,8.8009e-05,2.9122e-09,-1.9155e-06,0,2.9122e-09,-1.9155e-06,0,2.7529e+05,30212,91662,-1.99e+05,6.5756e-10,-5.1724e-10,2.031e+07,1.1354e+05,1,0.016,0.016,0.05,0
3.2776e-09,-2.1549e-06,0,3.2776e-09,-2.1549e-06,0,0,0,0,1.2493e-06,-4.3132e-07,0,-4.6005e-06,4.1581e-21,-3.1199e-21,8.7305e-05,3.2762e-09,-2.1549e-06,0,3.2762e-09,-2.1549e-06,0,2.8662e+05,28041,94411,-7.0777e+05,6.3971e-10,-4.7998e-10,2.0147e+07,1.2693e+05,1,0.018,0.018,0.05,0
3.6417e-09,-2.3943e-06,0,3.6417e-09,-2.3943e-06,0,0,0,0,1.3051e-06,-4.633e-07,0,-7.9075e-06,4.0421e-21,-2.8777e-21,8.6601e-05,3.6403e-09,-2.3943e-06,0,3.6403e-09,-2.3943e-06,0,2.9795e+05,25870,97159,-1.2165e+06,6.2186e-10,-4.4273e-10,1.9985e+07,1.4032e+05,1,0.02,0.02,0.05,0
8.4981e-09,-3.0095e-06,0,8.4981e-09,-3.0095e-06,0,0,0,0,1.2147e-06,-3.9488e-07,0,-7.8023e-06,3.2919e-21,-1.7746e-21,8.7086e-05,8.4973e-09,-3.0095e-06,0,8.4973e-09,-3.0095e-06,0,2.8152e+05,33866,94629,-1.2004e+06,5.0645e-10,-2.7302e-10,2.0097e+07,1.3667e+05,1,0.022,0.022,0.05,0
1.3354e-08,-3.6247e-06,0,1.3354e-08,-3.6247e-06,0,0,0,0,1.1244e-06,-3.2647e-07,0,-7.6971e-06,2.5417e-21,-6.7153e-22,8.7572e-05,1.3354e-08,-3.6247e-06,0,1.3354e-08,-3.6247e-06,0,2.6509e+05,41862,92100,-1.1842e+06,3.9103e-10,-1.0331e-10,2.0209e+07,1.3301e+05,1,0.024,0.024,0.05,0
1.8211e-08,-4.2399e-06,0,1.8211e-08,-4.2399e-06,0,0,0,0,1.0341e-06,-2.5805e-07,0,-7.5919e-06,1.7915e-21,4.3156e-22,8.8057e-05,1.8211e-08,-4.2399e-06,0,1.8211e-08,-4.2399e-06,0,2.4867e+05,49858,89570,-1.168e+06,2.7561e-10,6.6394e-11,2.0321e+07,1.2936e+05,1,0.026,0.026,0.05,0
2.3067e-08,-4.855e-06,0,2.3067e-08,-4.855e-06,0,0,0,0,9.4374e-07,-1.8964e-07,0,-7.4867e-06,1.0413e-21,1.5347e-21,8.8543e-05,2.3068e-08,-4.855e-06,0,2.3068e-08,-4.855e-06,0,2.3224e+05,57854,87040,-1.1518e+06,1.602e-10,2.361e-10,2.0433e+07,1.2571e+05,1,0.028,0.028,0.05,0
2.7924e-08,-5.4702e-06,0,2.7924e-08,-5.4702e-06,0,0,0,0,8.5341e-07,-1.2123e-07,0,-7.3815e-06,2.9105e-22,2.6377e-21,8.9028e-05,2.7926e-08,-5.4702e-06,0,2.7926e-08,-5.4702e-06,0,2.1581e+05,65850,84510,-1.1356e+06,4.4778e-11,4.0581e-10,2.0545e+07,1.2205e+05,1,0.03,0.03,0.05,0
3.278e-08,-6.0854e-06,0,3.278e-08,-6.0854e-06,0,0,0,0,7.6308e-07,-5.2812e-08,0,-7.2764e-06,-4.5917e-22,3.7408e-21,8.9514e-05,3.2783e-08,-6.0854e-06,0,3.2783e-08,-6.0854e-06,0,1.9939e+05,73846,81980,-1.1194e+06,-7.064e-11,5.7551e-10,2.0657e+07,1.184e+05,1,0.032,0.032,0.05,0
3.7636e-08,-6.7006e-06,0,3.7636e-08,-6.7006e-06,0,0,0,0,6.7275e-07,1.5603e-08,0,-7.1712e-06,-1.2094e-21,4.8439e-21,9e-05,3.764e-08,-6.7006e-06,0,3.764e-08,-6.7006e-06,0,1.8296e+05,81842,79450,-1.1033e+06,-1.8606e-10,7.4522e-10,2.0769e+07,1.1475e+05,1,0.034,0.034,0.05,0
4.2493e-08,-7.3157e-06,0,4.2493e-08,-7.3157e-06,0,0,0,0,5.8242e-07,8.4017e-08,0,-7.066e-06,-1.9596e-21,5.947e-21,9.0485e-05,4.2497e-08,-7.3157e-06,0,4.2497e-08,-7.3157e-06,0,1.6653e+05,89838,76920,-1.0871e+06,-3.0147e-10,9.1493e-10,2.0881e+07,1.1109e+05,1,0.036,0.036,0.05,0
4.7349e-08,-7.9309e-06,0,4.7349e-08,-7.9309e-06,0,0,0,0,4.9209e-07,1.5243e-07,0,-6.9608e-06,-2.7098e-21,7.0501e-21,9.0971e-05,4.7354e-08,-7.9309e-06,0,4.7354e-08,-7.9309e-06,0,1.501e+05,97834,74390,-1.0709e+06,-4.1689e-10,1.0846e-09,2.0993e+07,1.0744e+05,1,0.038,0.038,0.05,0
5.2205e-08,-8.5461e-06,0,5.2205e-08,-8.5461e-06,0,0,0,0,4.0176e-07,2.2085e-07,0,-6.8556e-06,-3.46e-21,8.1532e-21,9.1456e-05,5.2211e-08,-8.5461e-06,0,5.2211e-08,-8.5461e-06,0,1.3368e+05,1.0583e+05,71860,-1.0547e+06,-5.3231e-10,1.2543e-09,2.1105e+07,1.0378e+05,1,0.04,0.04,0.05,0
4.8957e-08,-9.5877e-06,0,4.8957e-08,-9.5877e-06,0,0,0,0,7.3531e-07,-2.7355e-08,0,-7.1526e-06,-3.4096e-21,9.2638e-21,9.1907e-05,4.8961e-08,-9.5877e-06,0,4.8961e-08,-9.5877e-06,0,1.9484e+05,77492,81706,-1.1004e+06,-5.2456e-10,1.4252e-09,2.1209e+07,1.1801e+05,1,0.042,0.042,0.05,0
