,0
0,1.0221882197841393e-06
1,1.1385210640049725e-06
2,1.0880333538259772e-06
3,1.0511355034604458e-06
4,1.0298546879505018e-06
5,1.0185621933453655e-06
6,1.015006856565231e-06
7,1.0254336252191112e-06
8,1.110447211054156e-06
9,1.8682962898296067e-06
10,1.924092694428032e-06
11,1.4648510865592206e-06
12,1.2600848789416304e-06
13,1.1487923896518983e-06
14,1.0866129721789956e-06
15,1.0534006046936433e-06
16,1.0408894961851903e-06
17,1.0542638646169672e-06
18,1.1325493318160981e-06
19,1.3721860318444343e-06
20,2.325918787607663e-06
21,1.7159951998695668e-06
22,1.4045191729390846e-06
23,1.2319385990367794e-06
24,1.1348128131336052e-06
25,1.082122738192638e-06
26,1.0591241571558242e-06
27,1.0639158280482653e-06
28,1.106979500877374e-06
29,1.1668056400507459e-06
30,2.509628867843094e-06
31,1.8789616299919668e-06
32,1.5079161782791147e-06
33,1.2927913520874876e-06
34,1.1698839247642458e-06
35,1.10207238815597e-06
36,1.0691480651041588e-06
37,1.062260157787867e-06
38,1.0764571264396574e-06
39,1.0776681256915947e-06
40,2.589907697912472e-06
41,1.9652216290301944e-06
42,1.5652457306767848e-06
43,1.3263980594145713e-06
44,1.1886767086145418e-06
45,1.1117144556562867e-06
46,1.071479398936182e-06
47,1.054374868321442e-06
48,1.04977151897064e-06
49,1.0347832113970755e-06
50,2.61242560499715e-06
51,1.985089992768239e-06
52,1.5749692207521431e-06
53,1.3301265397405186e-06
54,1.1895179444543312e-06
55,1.1105053094761275e-06
56,1.0669767169588205e-06
57,1.0427960512420805e-06
58,1.026154197813901e-06
59,1.0080236524821256e-06
60,2.5912714447955167e-06
61,1.940781250678245e-06
62,1.535860552378643e-06
63,1.3030585897034656e-06
64,1.1721603774666168e-06
65,1.0988122450459943e-06
66,1.0567576053165805e-06
67,1.0289898609844726e-06
68,1.0029767205758537e-06
69,9.806485938050252e-07
70,2.5207861581363876e-06
71,1.8239178907418525e-06
72,1.445898625890229e-06
73,1.2458827173738847e-06
74,1.1377993813801286e-06
75,1.0778733793076407e-06
76,1.0423173687110827e-06
77,1.0146652681598377e-06
78,9.787104923667784e-07
79,9.352416697297486e-07
80,2.373021960701816e-06
81,1.612849149252077e-06
82,1.3033448030752865e-06
83,1.161544952416174e-06
84,1.089210085559055e-06
85,1.049734292101732e-06
86,1.025541889134112e-06
87,1.00279374156879e-06
88,9.566643264368383e-07
89,8.387254012037975e-07
90,2.0793672597552945e-06
91,1.2686283661223522e-06
92,1.111241928740699e-06
93,1.0566834457860705e-06
94,1.0309124304638527e-06
95,1.0170796609065782e-06
96,1.0083397008608611e-06
97,9.97830319816553e-07
98,9.558346095902302e-07
99,6.120649171278053e-07
