,0,1
0,5.3875311814969415e-06,1.0221882197841393e-06
1,6.117053997631985e-06,1.1385210640049725e-06
2,6.445140770390226e-06,1.0880333538259772e-06
3,6.590549762210378e-06,1.0511355034604458e-06
4,6.649130882102302e-06,1.0298546879505018e-06
5,6.659082764922232e-06,1.0185621933453655e-06
6,6.625806389261221e-06,1.015006856565231e-06
7,6.525772129399908e-06,1.0254336252191112e-06
8,6.292944392297186e-06,1.110447211054156e-06
9,5.780923075112953e-06,1.8682962898296067e-06
10,5.239804374076671e-06,1.924092694428032e-06
11,5.7098686643793335e-06,1.4648510865592206e-06
12,5.95371640547829e-06,1.2600848789416304e-06
13,6.065528305790675e-06,1.1487923896518983e-06
14,6.111983978865359e-06,1.0866129721789956e-06
15,6.123559392196564e-06,1.0534006046936433e-06
16,6.103368998074101e-06,1.0408894961851903e-06
17,6.026771301596885e-06,1.0542638646169672e-06
18,5.8237961282677035e-06,1.1325493318160981e-06
19,5.30627897632148e-06,1.3721860318444343e-06
20,5.124381939613095e-06,2.325918787607663e-06
21,5.369520056256731e-06,1.7159951998695668e-06
22,5.501302648043982e-06,1.4045191729390846e-06
23,5.5598166622773755e-06,1.2319385990367794e-06
24,5.585142625553184e-06,1.1348128131336052e-06
25,5.5974213903453335e-06,1.082122738192638e-06
26,5.5975974193751725e-06,1.0591241571558242e-06
27,5.565109292149937e-06,1.0639158280482653e-06
28,5.447580739315058e-06,1.106979500877374e-06
29,5.153311488497862e-06,1.1668056400507459e-06
30,5.021231369853641e-06,2.509628867843094e-06
31,5.062662869578302e-06,1.8789616299919668e-06
32,5.070536441661754e-06,1.5079161782791147e-06
33,5.063910596227501e-06,1.2927913520874876e-06
34,5.062156143368903e-06,1.1698839247642458e-06
35,5.074859213855405e-06,1.10207238815597e-06
36,5.101476631183672e-06,1.0691480651041588e-06
37,5.128572879966114e-06,1.062260157787867e-06
38,5.123584209559089e-06,1.0764571264396574e-06
39,5.042156665540228e-06,1.0776681256915947e-06
40,4.921571202626273e-06,2.589907697912472e-06
41,4.765720540594788e-06,1.9652216290301944e-06
42,4.64405416955287e-06,1.5652457306767848e-06
43,4.566565270539548e-06,1.3263980594145713e-06
44,4.534898135632036e-06,1.1886767086145418e-06
45,4.548185995818522e-06,1.1117144556562867e-06
46,4.605214385618168e-06,1.071479398936182e-06
47,4.701516118635622e-06,1.054374868321442e-06
48,4.822171908084214e-06,1.04977151897064e-06
49,4.940769173905643e-06,1.0347832113970755e-06
50,4.8185030062303114e-06,2.61242560499715e-06
51,4.458678321987102e-06,1.985089992768239e-06
52,4.20451947668729e-06,1.5749692207521431e-06
53,4.055681710290351e-06,1.3301265397405186e-06
54,3.994357984081766e-06,1.1895179444543312e-06
55,4.008589453355364e-06,1.1105053094761275e-06
56,4.097348666326184e-06,1.0669767169588205e-06
57,4.267263854968356e-06,1.0427960512420805e-06
58,4.52136782147588e-06,1.026154197813901e-06
59,4.839840733249978e-06,1.0080236524821256e-06
60,4.704707986869051e-06,2.5912714447955167e-06
61,4.120416664559913e-06,1.940781250678245e-06
62,3.7338672051482823e-06,1.535860552378643e-06
63,3.5189417414431693e-06,1.3030585897034656e-06
64,3.4314947187733447e-06,1.1721603774666168e-06
65,3.446973362477551e-06,1.0988122450459943e-06
66,3.5655050576251065e-06,1.0567576053165805e-06
67,3.808137647216432e-06,1.0289898609844726e-06
68,4.201545651189167e-06,1.0029767205758537e-06
69,4.7326656228561416e-06,9.806485938050252e-07
70,4.569614633453443e-06,2.5207861581363876e-06
71,3.7237312874771562e-06,1.8239178907418525e-06
72,3.2125078553541783e-06,1.445898625890229e-06
73,2.944537698474759e-06,1.2458827173738847e-06
74,2.838221607954238e-06,1.1377993813801286e-06
75,2.854909789638496e-06,1.0778733793076407e-06
76,2.9969952864377326e-06,1.0423173687110827e-06
77,3.304464169554662e-06,1.0146652681598377e-06
78,3.8410358668952355e-06,9.787104923667784e-07
79,4.613479297051017e-06,9.352416697297486e-07
80,4.384133247726272e-06,2.373021960701816e-06
81,3.2281691290195715e-06,1.612849149252077e-06
82,2.6192782294883744e-06,1.3033448030752865e-06
83,2.322372235788011e-06,1.161544952416174e-06
84,2.2086063344563274e-06,1.089210085559055e-06
85,2.225797018766238e-06,1.049734292101732e-06
86,2.3796222511586967e-06,1.025541889134112e-06
87,2.733101234130201e-06,1.00279374156879e-06
88,3.4108367187090606e-06,9.566643264368383e-07
89,4.492269100962741e-06,8.387254012037975e-07
90,3.942201678246129e-06,2.0793672597552945e-06
91,2.5709717111036023e-06,1.2686283661223522e-06
92,1.9338712530684564e-06,1.111241928740699e-06
93,1.646097207437447e-06,1.0566834457860705e-06
94,1.5402993492079754e-06,1.0309124304638527e-06
95,1.5563149563838578e-06,1.0170796609065782e-06
96,1.7032606150100789e-06,1.0083397008608611e-06
97,2.065935249746546e-06,9.97830319816553e-07
98,2.8613634975194297e-06,9.558346095902302e-07
99,4.594344005381848e-06,6.120649171278053e-07
