,0
0,1.0965714577036041e-06
1,1.053529149214339e-06
2,1.036621362287865e-06
3,1.0296905256447984e-06
4,1.0279694757241281e-06
5,1.0301753908649968e-06
6,1.0366472125618995e-06
7,1.0493445429098687e-06
8,1.0720346913389015e-06
9,1.1093061390550326e-06
10,1.090628012223803e-06
11,1.0627328038845081e-06
12,1.0445517373736818e-06
13,1.035745697803228e-06
14,1.033406410207679e-06
15,1.0361557984381175e-06
16,1.0441071046127329e-06
17,1.0587832309704544e-06
18,1.0824913236202858e-06
19,1.1142393978130677e-06
20,1.0937387843474066e-06
21,1.0681431179234624e-06
22,1.0502475857732818e-06
23,1.0404773941612276e-06
24,1.0375049883508922e-06
25,1.0403663279345566e-06
26,1.0490689069257699e-06
27,1.0645803685690857e-06
28,1.088285673924125e-06
29,1.1207365699604552e-06
30,1.0981239630783956e-06
31,1.0716122904418437e-06
32,1.0536386158553448e-06
33,1.0435349453481766e-06
34,1.0402428106757246e-06
35,1.0430605934165936e-06
36,1.0519925428282905e-06
37,1.0677381127002294e-06
38,1.0914334371463274e-06
39,1.1244196111479539e-06
40,1.100301484649499e-06
41,1.0727437799846646e-06
42,1.0548726789485753e-06
43,1.0449144306013976e-06
44,1.0415971519609238e-06
45,1.044298890923047e-06
46,1.0530824393964962e-06
47,1.0685878184193123e-06
48,1.0918416409876069e-06
49,1.1241870876982288e-06
50,1.0984855521427704e-06
51,1.0709420027249377e-06
52,1.053972996152483e-06
53,1.0447333435080163e-06
54,1.0416444942369259e-06
55,1.0441421938304963e-06
56,1.0524314603304003e-06
57,1.067236430777232e-06
58,1.0895120443704068e-06
59,1.1202127780568123e-06
60,1.0913961122051617e-06
61,1.0658334743906634e-06
62,1.0510671893517182e-06
63,1.0432125808509188e-06
64,1.040538848115208e-06
65,1.0426713452503555e-06
66,1.0500879137343045e-06
67,1.0637653871727771e-06
68,1.084708116879735e-06
69,1.1132337705151964e-06
70,1.077852194975058e-06
71,1.05747256237099e-06
72,1.0465389566467915e-06
73,1.0406467148940256e-06
74,1.038433954880485e-06
75,1.0399492200999971e-06
76,1.0460553128775402e-06
77,1.0582008499709004e-06
78,1.0778676694570137e-06
79,1.1046245848934599e-06
80,1.056625723926939e-06
81,1.0465988555505975e-06
82,1.0409250248747095e-06
83,1.0371316475966004e-06
84,1.0352687830449707e-06
85,1.0359485113538857e-06
86,1.0403231694627065e-06
87,1.0503776794014794e-06
88,1.0692533721042826e-06
89,1.0974646603314522e-06
90,1.0263557247931222e-06
91,1.034220170759267e-06
92,1.0336515855097622e-06
93,1.0316941975604686e-06
94,1.0302887169257376e-06
95,1.0304206377820745e-06
96,1.0331591493587164e-06
97,1.0403724265759718e-06
98,1.0569947095604482e-06
99,1.0991304952855549e-06
