,0
0,11906308.330355342
1,6481193.089475754
2,7045337.364614113
3,7461257.37978794
4,7713481.767744387
5,7811365.362914489
6,7733310.173928237
7,7411477.5985612925
8,6781409.782817558
9,12439861.743333407
10,5466142.674256358
11,135110.7088289978
12,104112.34779598285
13,85426.85112886969
14,78376.73246377334
15,83628.58666802198
16,94234.36266771238
17,85351.6911031343
18,5629.256630437449
19,5342728.354013288
20,4759704.674735306
21,168575.2838602988
22,128040.14372866694
23,106139.93567671906
24,96323.53840719443
25,94844.60313078389
26,96561.16701007728
27,92982.85781318229
28,72975.03258526698
29,4565927.835231312
30,4264800.371607256
31,160620.68446514336
32,132291.33274799958
33,114813.84613369033
34,105951.8025344843
35,103463.36226805486
36,104732.48221495654
37,106892.22757936921
38,109111.93920558691
39,4108928.1950830547
40,3981099.0727017047
41,143578.03564830823
42,126894.99379802775
43,115553.72298524529
44,109636.23779630754
45,108758.19374663848
46,112215.93125250656
47,119152.74703413341
48,129178.54956693668
49,3934618.3819604423
50,3905210.2591652856
51,125403.1419237256
52,117114.13903428335
53,111422.55222576763
54,108734.67872851994
55,110142.82205645088
56,116590.7381254388
57,128582.31717291381
58,145935.13588906173
59,3997001.0742216688
60,4053958.807273321
61,103270.67510780273
62,104845.52205548156
63,104658.58265264891
64,104174.4233137155
65,106949.7633551769
66,115996.9494806407
67,133684.64057563245
68,162170.73196344683
69,4273336.043045738
70,4459990.644600073
71,65851.62321980717
72,92819.84874005057
73,98521.521831261
74,96835.04195170291
75,97934.95739701483
76,107462.94112412073
77,129220.13293561898
78,169659.84940725286
79,4764200.27935104
80,5129754.021302831
81,5226.784005499445
82,94599.33160009049
83,100753.33411793597
84,87401.61824077461
85,80535.98133325297
86,86754.21544187423
87,105037.17861446366
88,135838.06898668595
89,5468378.1873938665
90,11428391.48318795
91,6667294.529223652
92,7368279.611854154
93,7716375.843168386
94,7804771.551441208
95,7711386.756133612
96,7461209.136361563
97,7046092.288434582
98,6482043.111709309
99,11907094.435959522
