,0
0,1.0401689422262518e-06
1,1.3668398593745832e-06
2,1.4302358425298154e-06
3,1.4510263776574543e-06
4,1.4588332104680728e-06
5,1.4589534886697678e-06
6,1.451373727615978e-06
7,1.4307635343461383e-06
8,1.3674475207520533e-06
9,1.0403311425949395e-06
10,1.046102126238402e-06
11,1.2119444401582156e-06
12,1.2966602141382232e-06
13,1.337290766570966e-06
14,1.3539858518586785e-06
15,1.3540393111326283e-06
16,1.3374257050188817e-06
17,1.2967887711859877e-06
18,1.2118727642406853e-06
19,1.0454122461422998e-06
20,1.0385700333999174e-06
21,1.1381173391221547e-06
22,1.2071346473415307e-06
23,1.247470126049178e-06
24,1.265765442722526e-06
25,1.265777550479113e-06
26,1.2474805961171496e-06
27,1.2070580417512174e-06
28,1.1377843849406996e-06
29,1.0376915304127278e-06
30,1.0288270440815996e-06
31,1.094801297701795e-06
32,1.146269857533811e-06
33,1.1796722989840969e-06
34,1.1958134037092375e-06
35,1.1958100304482238e-06
36,1.1796437882916594e-06
37,1.1461574358578923e-06
38,1.0944963524524515e-06
39,1.0281624985829146e-06
40,1.0201136578074882e-06
41,1.0659821605571644e-06
42,1.103458419033861e-06
43,1.1291228025207728e-06
44,1.1419933343026523e-06
45,1.1419928797374639e-06
46,1.1291141097483733e-06
47,1.1034188311386596e-06
48,1.0658723433578282e-06
49,1.0198779203945066e-06
50,1.0131748177759374e-06
51,1.0455500776348493e-06
52,1.0724506348188324e-06
53,1.091357757229242e-06
54,1.1010345622538515e-06
55,1.1010443570553004e-06
56,1.0913915440762004e-06
57,1.0725232227997489e-06
58,1.0456910901928312e-06
59,1.0134338910249141e-06
60,1.0079849672089737e-06
61,1.0305892474676933e-06
62,1.0494307601391606e-06
63,1.0628163429668043e-06
64,1.0697356407748204e-06
65,1.0697512768824533e-06
66,1.0628777848431587e-06
67,1.0495858793511322e-06
68,1.0309314334526668e-06
69,1.0086689233815405e-06
70,1.0043299063844214e-06
71,1.0193888325867546e-06
72,1.0318630713293408e-06
73,1.0407365537084545e-06
74,1.0453352829925035e-06
75,1.0453422126711262e-06
76,1.040777739077172e-06
77,1.0320072753310201e-06
78,1.019777431108797e-06
79,1.005219109135689e-06
80,1.002005181451373e-06
81,1.0107716086915114e-06
82,1.017893700545684e-06
83,1.0229284058142303e-06
84,1.02552326465114e-06
85,1.025501066247022e-06
86,1.0228804985385363e-06
87,1.0178855040811197e-06
88,1.0109502896392186e-06
89,1.0026933087742491e-06
90,1.0009330618596675e-06
91,1.0037980462825324e-06
92,1.0060103151809589e-06
93,1.0075582159465915e-06
94,1.0083261581111171e-06
95,1.008256104458597e-06
96,1.0073556782258972e-06
97,1.0057023647722104e-06
98,1.0034440426116485e-06
99,1.0007651956860332e-06
