,0,1
0,1.0211819710085423e-06,1.0404364311857017e-06
1,1.0356748193696684e-06,1.3672268536369956e-06
2,1.0272513240747845e-06,1.4305607683689723e-06
3,1.0146141111481544e-06,1.451295575823673e-06
4,1.002594773033805e-06,1.4590532899037537e-06
5,9.912799697938024e-07,1.4591354910494602e-06
6,9.797715551563413e-07,1.4515322076663998e-06
7,9.681533469263562e-07,1.4309179029648231e-06
8,9.61247692710332e-07,1.3676346731473356e-06
9,9.777561173642967e-07,1.0405417224240778e-06
10,9.912036221752784e-07,1.0466838012258453e-06
11,1.0101803302209675e-06,1.212507921309487e-06
12,1.0124228138157674e-06,1.2971612584823e-06
13,1.0078379886683002e-06,1.3377315237563333e-06
14,1.001125422259247e-06,1.3543836758484105e-06
15,9.941238705419883e-07,1.354419883472958e-06
16,9.878391641605147e-07,1.337822468487131e-06
17,9.840969971908622e-07,1.2972463083340193e-06
18,9.87568395377098e-07,1.2124547794385335e-06
19,1.008114389203813e-06,1.0462094730856945e-06
20,9.926958308101486e-07,1.0394875373992244e-06
21,1.001470861140083e-06,1.1389015726443278e-06
22,1.0044219381812325e-06,1.2078097140192268e-06
23,1.0031857535295585e-06,1.2480651420518727e-06
24,9.999433633618248e-07,1.26631537755021e-06
25,9.962522548301254e-07,1.2663232901620504e-06
26,9.933677431685162e-07,1.2480710904970916e-06
27,9.928264573043531e-07,1.2077550596054249e-06
28,9.96763424162204e-07,1.138670522499876e-06
29,1.0067316935168262e-06,1.0388824317493267e-06
30,9.94644316812041e-07,1.0300333174480833e-06
31,9.986128876535964e-07,1.0957822587153292e-06
32,1.0006183692047745e-06,1.1470898979732492e-06
33,1.0005424587812238e-06,1.1803866656057005e-06
34,9.992103889918594e-07,1.1964746189874633e-06
35,9.975733430212884e-07,1.1964720381280999e-06
36,9.965500427139052e-07,1.1803662908159376e-06
37,9.970673274319732e-07,1.1470113816541893e-06
38,9.998993434648716e-07,1.0955710157054388e-06
39,1.0048455017020428e-06,1.0295741652615179e-06
40,9.959111143759845e-07,1.0215210282528037e-06
41,9.977343866484442e-07,1.0670955489437375e-06
42,9.989057692202342e-07,1.1043682633318475e-06
43,9.991597057698604e-07,1.129904065492991e-06
44,9.987835132622493e-07,1.1427119492302012e-06
45,9.98279247245898e-07,1.1427115131438192e-06
46,9.98187069565198e-07,1.129897732021142e-06
47,9.989836026130955e-07,1.1043404945934134e-06
48,1.0009044722694824e-06,1.0670193215089057e-06
49,1.003605920976615e-06,1.0213578350175434e-06
50,9.96779757578816e-07,1.0146704838868303e-06
51,9.9751846618175e-07,1.0467055492313456e-06
52,9.981181126865955e-07,1.0733754001594147e-06
53,9.984111769397233e-07,1.0921400549972844e-06
54,9.984858906486529e-07,1.1017479780612519e-06
55,9.98571574355879e-07,1.1017547130180377e-06
56,9.989309906237386e-07,1.0921633038257052e-06
57,9.99767759999845e-07,1.073425407330536e-06
58,1.0011180662011518e-06,1.0468028506645213e-06
59,1.0027360986649124e-06,1.0148496961527735e-06
60,9.973789698725206e-07,1.0094345359924997e-06
61,9.974490663369076e-07,1.0316774035053916e-06
62,9.97642665114319e-07,1.05028228523974e-06
63,9.9788431973209e-07,1.0635261609169145e-06
64,9.981782876597755e-07,1.07037810447446e-06
65,9.985888675516002e-07,1.0703889626700381e-06
66,9.991939359615827e-07,1.0635687370688905e-06
67,1.000032470362385e-06,1.0503895183828157e-06
68,1.0010562127973816e-06,1.0319136046851987e-06
69,1.0021069174574299e-06,1.0099066354298077e-06
70,9.977436940748621e-07,1.005573650984242e-06
71,9.972616388385996e-07,1.0202849709639734e-06
72,9.97123391506741e-07,1.0325465015715436e-06
73,9.97307722067494e-07,1.0412996046776616e-06
74,9.977548318657333e-07,1.0458442851073337e-06
75,9.98410588584332e-07,1.0458492551930285e-06
76,9.99220531479374e-07,1.0413285418591167e-06
77,1.0001074567688329e-06,1.0326466117251592e-06
78,1.0009616663508744e-06,1.0205531054362004e-06
79,1.001675549810199e-06,1.0061852135814723e-06
80,9.97881947207819e-07,1.0028533693598642e-06
81,9.967346142656313e-07,1.0113408901607478e-06
82,9.96284785007132e-07,1.0183167608959238e-06
83,9.964703265347474e-07,1.023278415304054e-06
84,9.971232869558235e-07,1.0258467772400383e-06
85,9.980772148855365e-07,1.0258318144798814e-06
86,9.99167831465359e-07,1.0232464568055863e-06
87,1.0002116200399494e-06,1.0183128225614928e-06
88,1.0010029919331637e-06,1.011465475679887e-06
89,1.0014185890890226e-06,1.0033254091330282e-06
90,9.979307970261445e-07,1.0011596776808237e-06
91,9.95513459572194e-07,1.0039078155376829e-06
92,9.948133657319162e-07,1.0060998667663267e-06
93,9.951670619286931e-07,1.0076486727915873e-06
94,9.96191173781865e-07,1.0084305022993332e-06
95,9.976063572941094e-07,1.008382648469608e-06
96,9.991600381324687e-07,1.0075107186007401e-06
97,1.00056532775927e-06,1.005891246831787e-06
98,1.0014164849465732e-06,1.0036697887415527e-06
99,1.00101912390091e-06,1.0010499340354402e-06
