,0
0,6.671859155832671e-09
1,1.2891061134755367e-08
2,1.5612942784834048e-08
3,1.5928688080595294e-08
4,1.4369397398907601e-08
5,1.1318908393151784e-08
6,7.233646221761466e-09
7,2.8105034724111278e-09
8,-7.902401686931854e-10
9,-1.4651570230862401e-09
10,1.2125837383335164e-08
11,2.6745208936123415e-08
12,3.7983095320210625e-08
13,4.497703404193788e-08
14,4.735822414668023e-08
15,4.510475097102075e-08
16,3.856703372908904e-08
17,2.8531263819082508e-08
18,1.6236498947559897e-08
19,3.0977552825359702e-09
20,1.867428255497471e-08
21,4.397646349482212e-08
22,6.459475562566029e-08
23,7.863813997762565e-08
24,8.498418353373263e-08
25,8.31795897945312e-08
26,7.340518269127506e-08
27,5.651921396662169e-08
28,3.411656185508312e-08
29,8.441651736657821e-09
30,2.718431672071165e-08
31,6.588643476283868e-08
32,9.777977036413928e-08
33,1.1999840815433328e-07
34,1.3076563866200885e-07
35,1.292317693181207e-07
36,1.153646687500704e-07
37,9.003530605166919e-08
38,5.528121382759637e-08
39,1.4534816012514204e-08
40,3.860239580978441e-08
41,9.45995669734352e-08
42,1.4063906005726006e-07
43,1.7281405293379274e-07
44,1.88855809283079e-07
45,1.876279033063848e-07
46,1.6879982416778749e-07
47,1.3299166052737099e-07
48,8.245481407849721e-08
49,2.2015024752205676e-08
50,5.430702772814222e-08
51,1.332647470823367e-07
52,1.9736436405511428e-07
53,2.4176979728719095e-07
54,2.6422655378344996e-07
55,2.63638553206718e-07
56,2.3923266141515263e-07
57,1.9069732080821187e-07
58,1.1955403730364195e-07
59,3.1780559196082906e-08
60,7.649359923268856e-08
61,1.8678374222081244e-07
62,2.7378909817221866e-07
63,3.326852755834032e-07
64,3.6265688012498406e-07
65,3.6348523319043185e-07
66,3.338169637923874e-07
67,2.7103760566311744e-07
68,1.73314529027028e-07
69,4.545615707253886e-08
70,1.090817125492123e-07
71,2.6358846001591174e-07
72,3.7833571235406633e-07
73,4.525426213625062e-07
74,4.902496493825697e-07
75,4.938499072716618e-07
76,4.615380022372742e-07
77,3.8635462238740815e-07
78,2.572530399688648e-07
79,6.750327927176778e-08
80,1.6145069964524744e-07
81,3.8016917579371674e-07
82,5.234499991600326e-07
83,6.089260763762876e-07
84,6.51972463535338e-07
85,6.601492532013682e-07
86,6.321567035028713e-07
87,5.556268417247574e-07
88,4.018982670580091e-07
89,1.1907899023960357e-07
90,2.773936188660881e-07
91,5.722457524061524e-07
92,7.264229163257762e-07
93,8.077762358121123e-07
94,8.485900457124167e-07
95,8.626371399439774e-07
96,8.513323129538514e-07
97,8.021280358862566e-07
98,6.757081757645123e-07
99,3.680205371842747e-07
