,0
0,8.586171828715595e-09
1,1.9194484646706884e-08
2,2.5137209183939808e-08
3,2.8433769649047563e-08
4,2.917090984250105e-08
5,2.7347926597637705e-08
6,2.3079607358194625e-08
7,1.664231146297197e-08
8,8.570698883496816e-09
9,4.692654306290178e-10
10,2.1420237517311746e-08
11,4.0249769114245265e-08
12,5.4824081016422153e-08
13,6.414327446229632e-08
14,6.769167439652788e-08
15,6.526334967116302e-08
16,5.694599258218419e-08
17,4.316702287915064e-08
18,2.4787128647747505e-08
19,3.10226574413553e-09
20,3.4828138108282446e-08
21,6.555076411917848e-08
22,8.97568001424353e-08
23,1.0561569746123878e-07
24,1.1218334111616661e-07
25,1.0906443833094999e-07
26,9.627333882602514e-08
27,7.429492265537774e-08
28,4.4313911513034155e-08
29,8.488556933537158e-09
30,5.153257826636676e-08
31,9.735587980196039e-08
32,1.3302445869600102e-07
33,1.5636867017813988e-07
34,1.6635312608992093e-07
35,1.6253207307476926e-07
36,1.4478551262038087e-07
37,1.134264273410688e-07
38,6.968973682241746e-08
39,1.649812793960661e-08
40,7.45355501180186e-08
41,1.3929868159464232e-07
42,1.8860013191969573e-07
43,2.2046708546927756e-07
44,2.3431688432102032e-07
45,2.2991689679083835e-07
46,2.069055470679641e-07
47,1.6493510332193265e-07
48,1.0452489572635884e-07
49,2.86824802892792e-08
50,1.0831719919305605e-07
51,1.9667951024142846e-07
52,2.6158843974317406e-07
53,3.0256399582486484e-07
54,3.20515345902326e-07
55,3.159016593050138e-07
56,2.8797726037026534e-07
57,2.3488104637007196e-07
58,1.547960798813798e-07
59,4.889526913394217e-08
60,1.6065644904932164e-07
61,2.7748042080007144e-07
62,3.5848133893694327e-07
63,4.076617318470335e-07
64,4.2926013072990016e-07
65,4.2518225724442886e-07
66,3.942097123964555e-07
67,3.3180978643852793e-07
68,2.3088510278752848e-07
69,8.57856549926401e-08
70,2.460560643283465e-07
71,3.940569219758467e-07
72,4.871581772487089e-07
73,5.403140956520262e-07
74,5.636596745076923e-07
75,5.613392320773523e-07
76,5.318534877009784e-07
77,4.672510408393379e-07
78,3.511459329342306e-07
79,1.5941597487178753e-07
80,3.925094253991925e-07
81,5.654653411809013e-07
82,6.557376191083474e-07
83,7.02748813920823e-07
84,7.237035600877376e-07
85,7.246407792037212e-07
86,7.045913483993617e-07
87,6.541709527963252e-07
88,5.470154854924455e-07
89,3.1862439946989857e-07
90,6.549444471507717e-07
91,8.194674857701825e-07
92,8.67539465760726e-07
93,8.912198198022796e-07
94,9.037484830205775e-07
95,9.089086488041692e-07
96,9.076704969574663e-07
97,8.977809106571031e-07
98,8.64055534598298e-07
99,6.865766885104678e-07
