,0,1
0,6.671788510803949e-09,8.592591560382109e-09
1,1.2890218557932329e-08,1.9201608058701272e-08
2,1.561160088254754e-08,2.514236053536033e-08
3,1.592705686925048e-08,2.8437115647806092e-08
4,1.436763863662788e-08,2.917257867419314e-08
5,1.1317157205948172e-08,2.734799909277227e-08
6,7.232033594224651e-09,2.30781157644944e-08
7,2.8091782440274576e-09,1.6639230928405313e-08
8,-7.910903230817712e-10,8.56594198432168e-09
9,-1.4652882579005144e-09,4.646496238263512e-10
10,1.2125921831069745e-08,2.1439728490316646e-08
11,2.674492243435746e-08,4.0264764676887885e-08
12,3.798254829454439e-08,5.483482383117895e-08
13,4.4976333517484657e-08,6.415017715882938e-08
14,4.735745575401808e-08,6.769507764990818e-08
15,4.510398446832082e-08,6.526344880641623e-08
16,3.856633608573477e-08,5.6942816991437893e-08
17,2.853071249008124e-08,4.316043664993056e-08
18,1.6236188679235824e-08,2.4776857065998966e-08
19,3.0977850099916072e-09,3.0879952173522196e-09
20,1.8674494769496303e-08,3.485864336752493e-08
21,4.3976622951785726e-08,6.55733868760709e-08
22,6.459489662310949e-08,8.977272049313874e-08
23,7.863828466321566e-08,1.0562581553143055e-07
24,8.49843358987331e-08,1.121882833370228e-07
25,8.317974114908933e-08,1.0906453506702279e-07
26,7.340532271812506e-08,9.626861599610586e-08
27,5.651934193906985e-08,7.428510685240553e-08
28,3.4116692783303255e-08,4.429844100316385e-08
29,8.441811670114204e-09,8.466560477979201e-09
30,2.7184627501377544e-08,5.157230341235325e-08
31,6.588700617163658e-08,9.738494834255515e-08
32,9.778057746778298e-08,1.3304465548460743e-07
33,1.199993942627064e-07,1.5638137667034054e-07
34,1.3076672066652002e-07,1.6635927685704888e-07
35,1.292328490340771e-07,1.6253214189777032e-07
36,1.15365647361339e-07,1.4477951681597632e-07
37,9.003609851409266e-08,1.1341394497918835e-07
38,5.528176013597414e-08,6.966994020719135e-08
39,1.4535086463849127e-08,1.646984531984156e-08
40,3.8602800259651565e-08,7.458241670884736e-08
41,9.460057555242897e-08,1.3933241007834335e-07
42,1.4064059021338855e-07,1.886232229336362e-07
43,1.7281596381311936e-07,2.204814454083357e-07
44,1.8885791934267444e-07,2.343237698716298e-07
45,1.8763001042571577e-07,2.2991692084984153e-07
46,1.688017266311113e-07,2.0689870111834644e-07
47,1.3299317771078112e-07,1.6492078337263915e-07
48,8.245580570480467e-08,1.0450194630084947e-07
49,2.201540720949152e-08,2.8649301509512454e-08
50,5.430753801162963e-08,1.0836831813826224e-07
51,1.3326627566123917e-07,1.967153972160255e-07
52,1.973667583869712e-07,2.616125179229853e-07
53,2.4177281474765223e-07,3.0257875216837784e-07
54,2.64229894284768e-07,3.205223534068726e-07
55,2.636418897073042e-07,3.1590164765795736e-07
56,2.392356686091797e-07,2.87970169264251e-07
57,1.9069970323608604e-07,2.348660456883391e-07
58,1.195555581003423e-07,1.5477157917146256e-07
59,3.178106986481696e-08,4.885898697485692e-08
60,7.649424784251431e-08,1.6070761932058252e-07
61,1.8678594360181688e-07,2.775150423139809e-07
62,2.737925995802354e-07,3.585039165935965e-07
63,3.326897000067625e-07,4.07675311174899e-07
64,3.626617784137622e-07,4.2926653056710327e-07
65,3.6349012467996126e-07,4.251822708315089e-07
66,3.338213714637717e-07,3.942032074232926e-07
67,2.710410904645322e-07,3.3179569706933494e-07
68,1.7331672773235295e-07,2.3086133404923544e-07
69,4.545682925231039e-08,8.574897906621284e-08
70,1.0908256422325129e-07,2.461012948659408e-07
71,2.6359158716913255e-07,3.940857721123101e-07
72,3.78340698131182e-07,4.871762077946927e-07
73,4.525489022272677e-07,5.403246784554652e-07
74,4.902565864780881e-07,5.63664673423974e-07
75,4.938568311231262e-07,5.613394039605618e-07
76,4.6154424976542037e-07,5.318486361632898e-07
77,3.8635957306991665e-07,4.67239959739835e-07
78,2.572561572420514e-07,3.511261261668721e-07
79,6.750417373269168e-08,1.5938313895307696e-07
80,1.6145187623892217e-07,3.9254040717076914e-07
81,3.801736457526922e-07,5.654828572694332e-07
82,5.234570331369597e-07,6.557477288774197e-07
83,6.089348529237625e-07,7.027545351566789e-07
84,6.519821093440322e-07,7.237064010295567e-07
85,6.601588729263578e-07,7.246413066917419e-07
86,6.321654117978306e-07,7.045893583969734e-07
87,5.556337951563602e-07,6.541653787692521e-07
88,4.0190269250337616e-07,5.47003947117076e-07
89,1.1908021791801642e-07,3.186019114111239e-07
90,2.773956286412516e-07,6.549496829045954e-07
91,5.72252294659067e-07,8.194676051756282e-07
92,7.264328202838289e-07,8.675386338000307e-07
93,8.077883818346501e-07,8.912191691686886e-07
94,8.486032961343481e-07,9.037485986298193e-07
95,8.626503414446704e-07,9.08909737105714e-07
96,8.513443259356529e-07,9.076724377759288e-07
97,8.021377655365566e-07,8.977832279323592e-07
98,6.757145793318852e-07,8.640572540469963e-07
99,3.680225639985195e-07,6.865744028883159e-07
