,0
0,5.5832781681697056e-06
1,6.196753073925466e-06
2,6.505030624980004e-06
3,6.669119078405188e-06
4,6.7621577303621794e-06
5,6.818286155246025e-06
6,6.854166762873454e-06
7,6.87833024533188e-06
8,6.895357819529654e-06
9,6.907827435032491e-06
10,6.9172565642024115e-06
11,6.924577380717221e-06
12,6.9303857299793225e-06
13,6.935076602887423e-06
14,6.938920599479644e-06
15,6.942108628720013e-06
16,6.944778925874535e-06
17,6.947033902479749e-06
18,6.948950966379844e-06
19,6.950589659256334e-06
20,6.951996482395913e-06
21,6.953208233372822e-06
22,6.954254360349494e-06
23,6.9551586537674455e-06
24,6.95594048185989e-06
25,6.956615706078306e-06
26,6.957197367904032e-06
27,6.957696209617219e-06
28,6.958121072510223e-06
29,6.958479203191478e-06
30,6.958776489829805e-06
31,6.959017644055337e-06
32,6.9592063398759655e-06
33,6.95934531780879e-06
34,6.959436460078474e-06
35,6.959480840934663e-06
36,6.959478754702239e-06
37,6.959429722963596e-06
38,6.9593324811713675e-06
39,6.9591849439086465e-06
40,6.958984146857277e-06
41,6.9587261621995675e-06
42,6.958405982535867e-06
43,6.958017366277666e-06
44,6.957552634629699e-06
45,6.957002406348351e-06
46,6.956355250919286e-06
47,6.955597232804547e-06
48,6.954711307660728e-06
49,6.9536765138236615e-06
50,6.95246687544363e-06
51,6.951049891665368e-06
52,6.949384419300326e-06
53,6.9474176472553295e-06
54,6.945080678641294e-06
55,6.942281924359356e-06
56,6.938896963860176e-06
57,6.9347525407636335e-06
58,6.929600531983509e-06
59,6.923074250889548e-06
60,6.91461265140123e-06
61,6.903324374192742e-06
62,6.887735532960449e-06
63,6.865305977698115e-06
64,6.831471051493668e-06
65,6.777684336604759e-06
66,6.687304581292727e-06
67,6.526716210813496e-06
68,6.225508743132054e-06
69,5.628533744011387e-06
70,5.321770467557472e-06
71,5.8153903321816745e-06
72,6.141262096315064e-06
73,6.352138135922634e-06
74,6.4907146817667755e-06
75,6.584460223728215e-06
76,6.650015145567997e-06
77,6.697378331516321e-06
78,6.7326382711980915e-06
79,6.759588852316238e-06
80,6.780659695933275e-06
81,6.797452019784518e-06
82,6.8110513907270515e-06
83,6.822213877675219e-06
84,6.831479404911324e-06
85,6.839242458391418e-06
86,6.845797272362156e-06
87,6.8513673986934005e-06
88,6.856125499592926e-06
89,6.860206881799639e-06
90,6.863718936916302e-06
91,6.8667478480564325e-06
92,6.86936343507973e-06
93,6.871622708830485e-06
94,6.873572514359043e-06
95,6.8752515206794224e-06
96,6.87669173447027e-06
97,6.877919661739111e-06
98,6.878957205308381e-06
99,6.879822361087971e-06
100,6.8805297586855e-06
101,6.881091079524256e-06
102,6.881515376679638e-06
103,6.881809314031461e-06
104,6.881977337326527e-06
105,6.882021785839385e-06
106,6.8819429501384326e-06
107,6.881739078728032e-06
108,6.881406333817217e-06
109,6.88093869395919e-06
110,6.88032779861051e-06
111,6.879562726549946e-06
112,6.878629696297048e-06
113,6.877511671815591e-06
114,6.876187850370696e-06
115,6.874633000706087e-06
116,6.872816607652492e-06
117,6.870701762267927e-06
