,0
0,1.743974130023098e-06
1,1.8415783770111305e-06
2,1.7888763031477518e-06
3,1.7381531546024152e-06
4,1.7006207863705304e-06
5,1.6733622349050256e-06
6,1.653182759338211e-06
7,1.6378366160647555e-06
8,1.6258444048451118e-06
9,1.6162356436670923e-06
10,1.6083645333854247e-06
11,1.6017920188393759e-06
12,1.596212381652867e-06
13,1.591407584097932e-06
14,1.587218540745204e-06
15,1.5835267157211429e-06
16,1.5802420863375834e-06
17,1.577295097479762e-06
18,1.5746311668982777e-06
19,1.5722068550660927e-06
20,1.5699871438332622e-06
21,1.5679434684546947e-06
22,1.5660522711283347e-06
23,1.5642939218350039e-06
24,1.562651902011997e-06
25,1.5611121790517628e-06
26,1.5596627211779318e-06
27,1.5582931168129106e-06
28,1.5569942725389868e-06
29,1.5557581707024854e-06
30,1.5545776726047036e-06
31,1.5534463567090003e-06
32,1.5523583837977368e-06
33,1.5513083828222322e-06
34,1.5502913524976947e-06
35,1.5493025746349945e-06
36,1.5483375358617406e-06
37,1.5473918548255667e-06
38,1.5464612122299439e-06
39,1.5455412811464308e-06
40,1.5446276549807942e-06
41,1.5437157702320307e-06
42,1.5428008207434077e-06
43,1.5418776594511888e-06
44,1.540940682606522e-06
45,1.5399836899510764e-06
46,1.5389997121716504e-06
47,1.537980793842982e-06
48,1.5369177155266654e-06
49,1.5357996319980958e-06
50,1.5346135935599919e-06
51,1.533343902184922e-06
52,1.531971230697208e-06
53,1.5304713961204172e-06
54,1.5288136187135682e-06
55,1.5269580004770981e-06
56,1.5248517934174824e-06
57,1.5224237492538743e-06
58,1.5195753597104492e-06
59,1.5161669502197184e-06
60,1.5119950942606787e-06
61,1.5067551688651297e-06
62,1.4999782109690406e-06
63,1.4909230760898527e-06
64,1.4783902589726148e-06
65,1.4603915925437253e-06
66,1.4334794785503986e-06
67,1.3905410315740058e-06
68,1.3062445671601873e-06
69,1.0023156244904046e-06
70,2.275035880085575e-06
71,2.1142875237092804e-06
72,2.0033752736061975e-06
73,1.9202692681244312e-06
74,1.8576122499088937e-06
75,1.80989409528522e-06
76,1.7729429316544026e-06
77,1.7437657773393896e-06
78,1.7202663792316419e-06
79,1.700981496832216e-06
80,1.6848817538273214e-06
81,1.6712331117573035e-06
82,1.6595035701574499e-06
83,1.6493009037589737e-06
84,1.640330996146834e-06
85,1.632369693356995e-06
86,1.6252435414700563e-06
87,1.618816407494834e-06
88,1.612980041879121e-06
89,1.6076473181084526e-06
90,1.6027473171918182e-06
91,1.598221702361128e-06
92,1.5940220091454836e-06
93,1.590107593888561e-06
94,1.5864440620922624e-06
95,1.583002050691302e-06
96,1.5797562743349072e-06
97,1.5766847706171576e-06
98,1.5737682966007198e-06
99,1.5709898413017188e-06
100,1.5683342276222288e-06
101,1.5657877835868707e-06
102,1.5633380673759148e-06
103,1.5609736340377877e-06
104,1.5586838342457916e-06
105,1.5564586372697707e-06
106,1.5542884716239777e-06
107,1.5521640777358755e-06
108,1.550076367526939e-06
109,1.5480162860449154e-06
110,1.545974670250058e-06
111,1.5439420997224849e-06
112,1.5419087333825085e-06
113,1.5398641252243225e-06
114,1.5377970104331992e-06
115,1.5356950508994296e-06
116,1.533544525775234e-06
117,1.5313299479166584e-06
118,1.5290335801640946e-06
119,1.5266348154527091e-06
120,1.5241093701755885e-06
121,1.521428218645784e-06
122,1.5185561641029755e-06
123,1.51544989234616e-06
124,1.5120552777481037e-06
125,1.5083035916715108e-06
126,1.5041060728851834e-06
127,1.4993460130130497e-06
128,1.4938670114323956e-06
129,1.487455236575734e-06
130,1.4798121816890035e-06
131,1.4705121587203418e-06
132,1.45893496699772e-06
133,1.4441573809698428e-06
134,1.4247735473934711e-06
135,1.3985821035657198e-06
136,1.3619880233825306e-06
137,1.3087312663716575e-06
138,1.2275060234967298e-06
139,1.1068451283057424e-06
140,2.550715132841744e-06
141,2.33717195981969e-06
142,2.190069860816217e-06
143,2.0819355190728738e-06
144,1.9996632659208147e-06
145,1.9356573482650157e-06
146,1.8849276540833386e-06
147,1.8440159583387235e-06
148,1.8104728149167668e-06
149,1.7825413586159852e-06
150,1.7589471621738448e-06
151,1.7387545078912405e-06
152,1.7212673808394308e-06
153,1.705961038827137e-06
154,1.6924344843321392e-06
155,1.6803772104385712e-06
156,1.6695457132362542e-06
157,1.6597467209971846e-06
158,1.6508250785562066e-06
159,1.6426548889395755e-06
160,1.6351329584206462e-06
161,1.6281738887792712e-06
162,1.6217063608807362e-06
163,1.615670289515251e-06
164,1.6100146223279709e-06
165,1.6046956198093116e-06
166,1.5996754980531335e-06
167,1.5949213475146591e-06
168,1.5904042634366584e-06
169,1.5860986397345675e-06
170,1.5819815898189323e-06
171,1.5780324663731381e-06
172,1.574232458383126e-06
173,1.5705642483505956e-06
174,1.567011716043339e-06
175,1.5635596776479405e-06
176,1.5601936510019878e-06
177,1.5568996388395888e-06
178,1.553663922780088e-06
179,1.5504728611803803e-06
180,1.5473126839769885e-06
181,1.544169277253231e-06
182,1.5410279494324084e-06
183,1.5378731696310979e-06
184,1.534688266664321e-06
185,1.5314550742589866e-06
186,1.5281535038805069e-06
187,1.5247610207322535e-06
188,1.5212519902421604e-06
189,1.5175968506545382e-06
190,1.5137610506241493e-06
191,1.5097036665889465e-06
192,1.5053755795698307e-06
193,1.5007170394006152e-06
194,1.4956543677932253e-06
195,1.490095437191725e-06
196,1.4839233904761615e-06
197,1.4769878079560786e-06
198,1.4690921401773066e-06
199,1.4599756489982277e-06
200,1.449287261064765e-06
201,1.4365475624700945e-06
202,1.4210936317881482e-06
203,1.401999755227947e-06
204,1.3779665571918169e-06
205,1.3471774455685688e-06
206,1.3071607733799843e-06
207,1.2548886706319554e-06
208,1.1881940133709857e-06
209,1.1126418778878713e-06
210,2.6996229844695852e-06
211,2.4936288039390962e-06
212,2.3378026505402274e-06
213,2.2177419589306392e-06
214,2.1234485165324776e-06
215,2.048144196574755e-06
216,1.987093897657173e-06
217,1.936897016314146e-06
218,1.8950669954995244e-06
219,1.8597634335817716e-06
220,1.8296105553291128e-06
221,1.8035699591605843e-06
222,1.7808500408886233e-06
223,1.7608410677293565e-06
224,1.7430684147853093e-06
225,1.7271587100658137e-06
226,1.7128151709993647e-06
227,1.6997995033018396e-06
228,1.687918505106979e-06
229,1.6770140644156905e-06
230,1.6669556209370887e-06
231,1.6576344317937367e-06
232,1.648959168669825e-06
233,1.640852506149662e-06
234,1.6332484542710015e-06
235,1.6260902545296736e-06
236,1.6193287058877781e-06
237,1.6129208213952754e-06
238,1.6068287407319301e-06
239,1.6010188420176659e-06
240,1.5954610095099114e-06
241,1.5901280236282777e-06
242,1.5849950470516135e-06
243,1.5800391860802714e-06
244,1.5752391105166613e-06
245,1.5705747183236113e-06
246,1.5660268335088518e-06
247,1.5615769272191285e-06
248,1.5572068530182928e-06
249,1.5528985878355305e-06
250,1.5486339701302244e-06
251,1.544394426420614e-06
252,1.5401606764187868e-06
253,1.5359124055154771e-06
254,1.5316278911211737e-06
255,1.527283566179543e-06
256,1.5228534987106902e-06
257,1.518308760062039e-06
258,1.5136166459931175e-06
259,1.5087397028643434e-06
260,1.5036344947012313e-06
261,1.4982500238485769e-06
262,1.4925256855828758e-06
263,1.4863885915604005e-06
264,1.4797500330057985e-06
265,1.4725007649623259e-06
266,1.464504668838032e-06
267,1.4555901823488542e-06
268,1.445538667549642e-06
269,1.434068626971784e-06
270,1.420814424661696e-06
271,1.40529808136383e-06
272,1.3868932215272633e-06
273,1.364782468601771e-06
274,1.3379163812995964e-06
275,1.3050007711160955e-06
276,1.2645881430375087e-06
277,1.2154651905863507e-06
278,1.1577314642241632e-06
279,1.0948551809390137e-06
280,2.783681329253984e-06
281,2.5999277687790113e-06
282,2.4497761965877573e-06
283,2.3277846050161783e-06
284,2.2282464127193765e-06
285,2.1463778257907885e-06
286,2.0784069944530864e-06
287,2.021411203423455e-06
288,1.9731345659143303e-06
289,1.9318346100448494e-06
290,1.8961614300270079e-06
291,1.8650644969369846e-06
292,1.8377215323557085e-06
293,1.813484570352277e-06
294,1.7918392102968546e-06
295,1.7723738768096022e-06
296,1.7547566088514371e-06
297,1.738717485000431e-06
298,1.7240352590619425e-06
299,1.7105271421438914e-06
300,1.6980409417408991e-06
301,1.68644897326659e-06
302,1.6756433110007998e-06
303,1.6655320568896878e-06
304,1.6560363874789284e-06
305,1.6470881993768402e-06
306,1.6386282179012e-06
307,1.6306044662571554e-06
308,1.622971016847157e-06
309,1.6156869643885977e-06
310,1.6087155740465693e-06
311,1.6020235679613912e-06
312,1.5955805212211535e-06
313,1.5893583441210038e-06
314,1.5833308319154426e-06
315,1.5774732665351134e-06
316,1.5717620571411754e-06
317,1.5661744080948542e-06
318,1.5606880040400287e-06
319,1.555280702402293e-06
320,1.5499302237310036e-06
321,1.5446138299486744e-06
322,1.5393079796863127e-06
323,1.5339879483955317e-06
324,1.5286273987122551e-06
325,1.5231978834156517e-06
326,1.5176682590137042e-06
327,1.5120039821230628e-06
328,1.506166252886007e-06
329,1.5001109589887807e-06
330,1.4937873594846439e-06
331,1.4871364283623759e-06
332,1.4800887520902648e-06
333,1.4725618413640281e-06
334,1.464456673065078e-06
335,1.4556532226032647e-06
336,1.4460046800654217e-06
337,1.4353299721470698e-06
338,1.4234041548744e-06
339,1.4099462470408003e-06
340,1.3946042477673627e-06
341,1.37693765125212e-06
342,1.3563992054840664e-06
343,1.3323208852891897e-06
344,1.3039157794332619e-06
345,1.2703205220296653e-06
346,1.2307240809737377e-06
347,1.1846488736454482e-06
348,1.1324054598834407e-06
349,1.0753978807966453e-06
350,2.8335199140583657e-06
351,2.6726319463064333e-06
352,2.5335950713908047e-06
353,2.4153774099515825e-06
354,2.3153769481187097e-06
355,2.230715049585315e-06
356,2.1587458229368313e-06
357,2.0972066468371428e-06
358,2.0442256427616883e-06
359,1.998279065909494e-06
360,1.958136035769822e-06
361,1.9228050012956004e-06
362,1.8914869346210236e-06
363,1.8635363756060052e-06
364,1.8384298827971294e-06
365,1.815740885124949e-06
366,1.7951198158015356e-06
367,1.7762784894068708e-06
368,1.7589778325681085e-06
369,1.7430182399430474e-06
370,1.7282319749987242e-06
371,1.71447716033483e-06
372,1.7016330039478033e-06
373,1.6895959881840378e-06
374,1.6782768106378027e-06
375,1.6675979144072767e-06
376,1.6574914820249214e-06
377,1.647897795585881e-06
378,1.6387638871470812e-06
379,1.630042419942825e-06
380,1.6216907535721745e-06
381,1.6136701559785094e-06
382,1.605945132455613e-06
383,1.5984828475977621e-06
384,1.5912526204525235e-06
385,1.5842254764232523e-06
386,1.5773737419162646e-06
387,1.570670669488552e-06
388,1.5640900824321018e-06
389,1.5576060283980368e-06
390,1.5511924318523102e-06
391,1.5448227348681398e-06
392,1.5384695149717851e-06
393,1.5321040674080991e-06
394,1.5256959371840857e-06
395,1.5192123834426373e-06
396,1.5126177549231058e-06
397,1.505872750226915e-06
398,1.4989335300007552e-06
399,1.4917506395772217e-06
400,1.4842676896082263e-06
401,1.4764197283035956e-06
402,1.468131221653131e-06
403,1.4593135374246687e-06
404,1.4498618056439857e-06
405,1.4396510054835063e-06
406,1.4285311128245687e-06
407,1.416321148815757e-06
408,1.4028020267694433e-06
409,1.3877082585111568e-06
410,1.3707189538196265e-06
411,1.3514493055102212e-06
412,1.3294451859195795e-06
413,1.3041859934722722e-06
414,1.275104856562787e-06
415,1.2416403684492978e-06
