,0
0,54649430.811667204
1,28509271.76827437
2,28167506.63336941
3,27990899.42198673
4,27913362.23717455
5,27880144.269003168
6,27865444.80708416
7,27858562.218160637
8,27855138.23434361
9,27853342.198259883
10,27852361.801045336
11,27851813.17422448
12,27851503.497488942
13,27851330.535642445
14,27851237.55058396
15,27851191.8426333
16,27851173.972089514
17,27851172.08280139
18,27851178.78822103
19,27851189.402345747
20,27851200.90396674
21,27851211.31418903
22,27851219.313630924
23,27851224.002127983
24,27851224.745006546
25,27851221.072917957
26,27851212.615310043
27,27851199.055258237
28,27851180.09793798
29,27851155.447788816
30,27851124.79112515
31,27851087.782009326
32,27851044.029864818
33,27850993.087715253
34,27850934.440178186
35,27850867.49047239
36,27850791.54574451
37,27850705.800002847
38,27850609.31386913
39,27850500.99022332
40,27850379.54461468
41,27850243.46903118
42,27850090.987237643
43,27849919.999380816
44,27849728.01287409
45,27849512.055659432
46,27849268.566721626
47,27848993.257103026
48,27848680.932511847
49,27848325.265806
50,27847918.504063234
51,27847451.090673283
52,27846911.178430445
53,27846284.00676937
54,27845551.120231017
55,27844689.429845378
56,27843670.201286633
57,27842458.292825766
58,27841012.637320682
59,27839290.852294385
60,27837266.295938276
61,27834981.92413424
62,27832713.644740045
63,27831462.515320253
64,27834431.245289594
65,27851353.46487516
66,27910382.154117245
67,28085789.123005956
68,28535294.13013757
69,56096908.61001673
70,26758730.093842704
71,-6.599815873427944
72,-0.6161215074507146
73,0.1994907143342824
74,-0.07620996501844088
75,-0.3826618898114179
76,-0.5469399419865685
77,-0.6016840191409516
78,-0.596918682820585
79,-0.5654019240171728
80,-0.5245259293865605
81,-0.48258300953628547
82,-0.44315618757503666
83,-0.40754793975928155
84,-0.3760103270928455
85,-0.3483432465615466
86,-0.32417806299648094
87,-0.3031082118342583
88,-0.2847461949342243
89,-0.2687455649136313
90,-0.2548066184881757
91,-0.24267487144557476
92,-0.23213668475988375
93,-0.22301410667212443
94,-0.21515986424588274
95,-0.20845288574621293
96,-0.20279447105045442
97,-0.1981051066541748
98,-0.19432187235259765
99,-0.19139637185575695
100,-0.18929312113140792
101,-0.18798833694527883
102,-0.18746907951205166
103,-0.1877327153031015
104,-0.18878667815631198
105,-0.19064851883651032
106,-0.19334624526171965
107,-0.19691896832149136
108,-0.20141788214986972
109,-0.20690762373366564
110,-0.21346807585545216
111,-0.2211967008955689
112,-0.23021152269633854
113,-0.24065491167707345
114,-0.25269837755570407
115,-0.2665486380866262
116,-0.282455315695362
117,-0.30072072218811136
118,-0.3217123303905448
119,-0.3458787042929799
120,-0.3737698626408333
121,-0.4060632616280893
122,-0.4435967272145229
123,-0.48740955332241676
124,-0.5387921313479912
125,-0.5993417454897837
126,-0.6710148520165546
127,-0.7561479147493531
128,-0.8573750081183895
129,-0.9772678930555027
130,-1.117293440016026
131,-1.2751972097649569
132,-1.439031282823673
133,-1.5748968895697146
134,-1.6055135254247306
135,-1.3797178117853222
136,-0.601687672129951
137,1.8105762658553441
138,13.668169094825211
139,26651369.392135438
140,26462608.313717443
141,4.48608097768068
142,2.0448004268368436
143,1.1800299758035597
144,0.6023759300018438
145,0.19068529978861465
146,-0.07417379277477491
147,-0.2274859611541439
148,-0.3069455500441804
149,-0.34159104120914485
150,-0.3506048197441166
151,-0.3456962745125652
152,-0.3337110693244472
153,-0.31854704777767884
154,-0.3023766665250232
155,-0.2863796946436917
156,-0.2711701205259416
157,-0.2570420819444777
158,-0.24411110807071326
159,-0.2323952530764121
160,-0.2218617060944754
161,-0.21245349726602777
162,-0.20410467704355506
163,-0.19674879891759092
164,-0.1903235115083154
165,-0.18477290228974358
166,-0.18004856034860175
167,-0.1761099309657455
168,-0.17292430224410804
169,-0.1704666263536931
170,-0.16871929619936715
171,-0.16767195006679247
172,-0.16732134864255332
173,-0.16767135299562272
174,-0.1687330239104733
175,-0.17052485964065006
176,-0.17307318902716454
177,-0.17641273907642993
178,-0.18058739993543643
179,-0.18565121546218769
180,-0.19166963405862544
181,-0.1987210619314642
182,-0.20689876907531973
183,-0.21631320633675846
184,-0.22709479830383822
185,-0.2393972785538013
186,-0.25340162497832025
187,-0.2693206226449253
188,-0.28740400907793495
189,-0.30794400344252293
190,-0.33128071419610366
191,-0.35780632253305805
192,-0.3879657911764748
193,-0.4222496504938133
194,-0.46117020155300487
195,-0.5052043708002574
196,-0.5546707972037576
197,-0.6094784654550486
198,-0.6686259804105413
199,-0.729220447744105
200,-0.7845838958444743
201,-0.820671662399977
202,-0.8095019319098123
203,-0.6976017243250634
204,-0.386459666616248
205,0.30161669240100597
206,1.6961248422129054
207,4.452471025791828
208,9.560628817751693
209,26467085.96632916
210,26432093.001686085
211,5.513218120414439
212,3.129348298194849
213,1.8734832726202015
214,1.1150085634740712
215,0.6172042531637869
216,0.2870463033590349
217,0.07285964791238295
218,-0.06178655754898808
219,-0.14341192867923575
220,-0.1906060751446384
221,-0.21588622474976474
222,-0.22744478213585606
223,-0.23055252391840936
224,-0.22856960142665575
225,-0.2236287477820289
226,-0.21708064419577994
227,-0.20977888836329572
228,-0.20226090295776247
229,-0.19486263362676168
230,-0.18779145580909717
231,-0.18117273464577657
232,-0.175079727341297
233,-0.1695529005221748
234,-0.16461248063510173
235,-0.160266651590111
236,-0.15651693711500747
237,-0.15336175463307614
238,-0.15079877931992547
239,-0.1488265351272721
240,-0.14744548725470435
241,-0.14665881848637113
242,-0.14647301199955842
243,-0.14689832412975296
244,-0.14794920485478047
245,-0.14964470679440228
246,-0.15200891213451478
247,-0.1550713990257771
248,-0.15886776306197975
249,-0.16344020413207966
250,-0.16883818299780468
251,-0.1751191437087636
252,-0.18234928535656603
253,-0.19060434631551762
254,-0.1999703308069288
255,-0.21054405289721573
256,-0.22243328309516722
257,-0.2357561344479394
258,-0.2506390800058819
259,-0.26721258647138363
260,-0.2856026685749246
261,-0.30591552378170345
262,-0.3282104655240722
263,-0.35245305768468865
264,-0.3784346565690409
265,-0.4056347441486902
266,-0.43298550967495425
267,-0.4584691855787665
268,-0.478430028314806
269,-0.48640406733081837
270,-0.4711500950750396
271,-0.4134036449752782
272,-0.28070284601874274
273,-0.019547201220466166
274,0.4556641382813868
275,1.2765304360180008
276,2.6321180879737267
277,4.742577656279558
278,7.6178841416345024
279,26445283.71467693
280,26421556.2367939
281,4.518591773076914
282,3.08585443907863
283,2.069544088588255
284,1.3669730439476682
285,0.8760785049629167
286,0.5322958992239984
287,0.29366511466419215
288,0.13035169773539926
289,0.020335979261792286
290,-0.052521330651377617
291,-0.09979777501951448
292,-0.12962931746277678
293,-0.14764866935305695
294,-0.15772047086796795
295,-0.16248505308061773
296,-0.16374482154949427
297,-0.162731925288748
298,-0.1602909823782743
299,-0.15700292306441124
300,-0.15326874913505464
301,-0.14936625835240838
302,-0.1454885972805782
303,-0.1417705952807983
304,-0.13830685897899886
305,-0.13516428636604097
306,-0.13239078191946932
307,-0.1300213711573683
308,-0.12808252528949532
309,-0.12659524759184998
310,-0.1255772992182
311,-0.12504482463475436
312,-0.12501355674833392
313,-0.12549972667386106
314,-0.12652076458905084
315,-0.12809585055199646
316,-0.13024635369680598
317,-0.1329961818401152
318,-0.13637204916104023
319,-0.14040365501415358
320,-0.14512375010632322
321,-0.1505680445687583
322,-0.15677488234811512
323,-0.16378456279305953
324,-0.17163812575427245
325,-0.18037531919644897
326,-0.19003132014726326
327,-0.20063155217467712
328,-0.21218359021286579
329,-0.22466459413664813
330,-0.23800185027218812
331,-0.2520426391340105
332,-0.266507490434792
333,-0.2809174596683414
334,-0.2944806252475158
335,-0.30591444317550814
336,-0.31316731717399493
337,-0.31298274630758316
338,-0.300220888170214
339,-0.26681570061052823
340,-0.2002087462260975
341,-0.08108985827880826
342,0.11964175827265883
343,0.4444525276778277
344,0.9521346748776606
345,1.7167242442174508
