,0,1
0,5.583188888793767e-06,1.746716562731069e-06
1,6.196513812596528e-06,1.8465236178227164e-06
2,6.504661957752832e-06,1.793493019725498e-06
3,6.668638315226901e-06,1.7422715914990051e-06
4,6.761581517667644e-06,1.704193781732077e-06
5,6.817630582546201e-06,1.6764201017402082e-06
6,6.853446796789574e-06,1.6557916812806564e-06
7,6.877559163470618e-06,1.6400714541711546e-06
8,6.894546883580853e-06,1.6277749244520704e-06
9,6.906985832079373e-06,1.6179210242798057e-06
10,6.916391552616205e-06,1.609852435536932e-06
11,6.923694553078844e-06,1.6031197669301869e-06
12,6.9294893170827835e-06,1.5974088442150105e-06
13,6.934169767278746e-06,1.5924950482695494e-06
14,6.938005690928265e-06,1.588214304239779e-06
15,6.941187391863e-06,1.5844443372088265e-06
16,6.943852661155603e-06,1.581092327570404e-06
17,6.94610358679815e-06,1.5780866183244222e-06
18,6.948017341499136e-06,1.5753710338038667e-06
19,6.949653295660006e-06,1.5729009130236333e-06
20,6.951057825057296e-06,1.5706402899459602e-06
21,6.952267634493249e-06,1.568559854931491e-06
22,6.953312102832155e-06,1.5666354575547714e-06
23,6.954214968150276e-06,1.5648469907618365e-06
24,6.954995558637815e-06,1.5631775477766004e-06
25,6.955669704767679e-06,1.5616127768602668e-06
26,6.956250423792597e-06,1.5601403814648264e-06
27,6.956748438857484e-06,1.5587497284918758e-06
28,6.95717257601662e-06,1.5574315377746903e-06
29,6.957530069665998e-06,1.5561776331373816e-06
30,6.957826798147206e-06,1.5549807404781475e-06
31,6.95806746517453e-06,1.5538343219473373e-06
32,6.9582557383995015e-06,1.5527324378918338e-06
33,6.958394353281457e-06,1.5516696301144855e-06
34,6.9584851880945945e-06,1.5506408213539217e-06
35,6.958529314109159e-06,1.5496412268636486e-06
36,6.958527023551084e-06,1.5486662746532402e-06
37,6.95847783673375e-06,1.5477115314104663e-06
38,6.958380488658285e-06,1.5467726313897708e-06
39,6.958232894300753e-06,1.5458452056497605e-06
40,6.9580320906517235e-06,1.5449248089538248e-06
41,6.9577741522431755e-06,1.5440068414011602e-06
42,6.957454075260624e-06,1.5430864613990108e-06
43,6.95706562322445e-06,1.5421584858658433e-06
44,6.956601124390561e-06,1.5412172724813834e-06
45,6.9560512071132e-06,1.540256577237416e-06
46,6.955404453896406e-06,1.5392693782851413e-06
47,6.954646946910299e-06,1.5382476538020846e-06
48,6.953761666063382e-06,1.537182096820577e-06
49,6.952727683210421e-06,1.5360617428978637e-06
50,6.95151906930235e-06,1.5348734759370043e-06
51,6.950103389491304e-06,1.5336013614094193e-06
52,6.948439594525292e-06,1.5322257314464276e-06
53,6.946475007925345e-06,1.5307219073794235e-06
54,6.944140926488529e-06,1.529058383245331e-06
55,6.941346039889414e-06,1.527194193015502e-06
56,6.937966327184055e-06,1.5250750179421612e-06
57,6.933829099580342e-06,1.5226273112349302e-06
58,6.928687028272645e-06,1.5197492416735782e-06
59,6.922174514757587e-06,1.516296436804627e-06
60,6.913731961860262e-06,1.5120590745412762e-06
61,6.902469870298825e-06,1.5067243584744468e-06
62,6.886916634292898e-06,1.4998139905332146e-06
63,6.864534744566918e-06,1.4905784623680453e-06
64,6.83076239397487e-06,1.477815807919873e-06
65,6.777055988764618e-06,1.459550761077032e-06
66,6.6867768237279295e-06,1.4323794504556208e-06
67,6.526311490597642e-06,1.3892820240839011e-06
68,6.225251671109249e-06,1.3051124890416561e-06
69,5.628452679625849e-06,1.002634627291525e-06
70,5.32170332258582e-06,2.2786756963288637e-06
71,5.8151931340489895e-06,2.119360520892879e-06
72,6.140949091212692e-06,2.00868273405741e-06
73,6.351722889366348e-06,1.9253479930063756e-06
74,6.490210544112903e-06,1.862285238116652e-06
75,6.583880214919542e-06,1.8141146540040341e-06
76,6.649371567974612e-06,1.7767260613174386e-06
77,6.696682371732264e-06,1.747153053840769e-06
78,6.73189972838393e-06,1.7233074937097362e-06
79,6.758816031212179e-06,1.7037250203266773e-06
80,6.779859443402841e-06,1.6873711115029966e-06
81,6.796629859174625e-06,1.6735053753107466e-06
82,6.810211706711209e-06,1.6615896373345034e-06
83,6.8213601141434454e-06,1.651226251685208e-06
84,6.830614251575415e-06,1.642116583294133e-06
85,6.838368013426061e-06,1.6340328130118875e-06
86,6.844915176815738e-06,1.6267985529482192e-06
87,6.8504789435273045e-06,1.6202753318337707e-06
88,6.855231708762618e-06,1.6143530345054562e-06
89,6.859308575649155e-06,1.608943039185354e-06
90,6.862816780056397e-06,1.6039732205934972e-06
91,6.865842385349895e-06,1.5993842614284139e-06
92,6.868455118676056e-06,1.5951268938689724e-06
93,6.870711918538578e-06,1.5911598109059687e-06
94,6.872659573089512e-06,1.5874480661845972e-06
95,6.8743367062437705e-06,1.5839618343447164e-06
96,6.875775288684379e-06,1.5806754403234368e-06
97,6.877001797525255e-06,1.5775665913533728e-06
98,6.878038112304478e-06,1.574615763101443e-06
99,6.8789022101382964e-06,1.5718057039464835e-06
100,6.879608705490165e-06,1.5691210303828974e-06
101,6.880169267655006e-06,1.5665478930327833e-06
102,6.880592940119701e-06,1.5640736974769716e-06
103,6.880886379361512e-06,1.5616868675737432e-06
104,6.881054025653774e-06,1.5593766414659788e-06
105,6.8810982145495615e-06,1.5571328923204654e-06
106,6.881019234539393e-06,1.5549459671608504e-06
107,6.880815333647576e-06,1.5528065380590145e-06
108,6.8804826752162394e-06,1.5507054605097651e-06
109,6.880015240624151e-06,1.5486336340708684e-06
110,6.879404673997074e-06,1.5465818603173803e-06
111,6.878640060863312e-06,1.5445406928227398e-06
112,6.8777076289160115e-06,1.5425002731966447e-06
113,6.876590354198954e-06,1.5404501461034737e-06
114,6.875267449630827e-06,1.53837904452948e-06
115,6.873713704100704e-06,1.5362746341699719e-06
116,6.871898628340853e-06,1.5341232023794428e-06
117,6.869785346813303e-06,1.5319092722320983e-06
118,6.867329150489286e-06,1.5296151152183556e-06
119,6.864475589850731e-06,1.5272201259501141e-06
120,6.861157934676482e-06,1.5247000074166666e-06
121,6.857293747490602e-06,1.52202569341521e-06
122,6.8527801950444355e-06,1.5191619019816315e-06
123,6.847487530355911e-06,1.5160651639288419e-06
124,6.841249871622902e-06,1.5126810942450868e-06
125,6.833851906022639e-06,1.508940555332841e-06
126,6.825009319504851e-06,1.5047541740425394e-06
127,6.814339354727102e-06,1.5000043765845885e-06
128,6.801315488010492e-06,1.4945336260913655e-06
129,6.785195987687405e-06,1.4881267691127939e-06
130,6.764908589478629e-06,1.4804841210142672e-06
131,6.738859978596965e-06,1.4711798007416015e-06
132,6.704614279423777e-06,1.4595962161000073e-06
133,6.65834078207962e-06,1.444819097098873e-06
134,6.5938543784331735e-06,1.4254643256728036e-06
135,6.500947953194258e-06,1.3993761509426481e-06
136,6.3625545241069825e-06,1.363047856919109e-06
137,6.150235302629589e-06,1.310384226211292e-06
138,5.818376757560211e-06,1.2303960208002016e-06
139,5.302902275204001e-06,1.1122752896724454e-06
140,5.229877557890109e-06,2.5565446805770584e-06
141,5.601633429725519e-06,2.343571450678992e-06
142,5.892233761281289e-06,2.1965313153894364e-06
143,6.107103443092937e-06,2.0881515671232093e-06
144,6.26366411049248e-06,2.00548294718323e-06
145,6.3783126928792866e-06,1.941025583676942e-06
146,6.463480131484256e-06,1.889843386731431e-06
147,6.5279014329907345e-06,1.8485059464801592e-06
148,6.577555470177617e-06,1.8145759159999427e-06
149,6.616520573760313e-06,1.7862995640580021e-06
150,6.64760150426528e-06,1.762400870878727e-06
151,6.672754701973349e-06,1.7419403598696775e-06
152,6.693368350245046e-06,1.7242175497154815e-06
153,6.710445425598565e-06,1.7087032894838189e-06
154,6.724723788685975e-06,1.6949925821726557e-06
155,6.736755759385754e-06,1.6827714517819074e-06
156,6.746961554230471e-06,1.671793458927801e-06
157,6.755665716724634e-06,1.6618628802790018e-06
158,6.763122347662005e-06,1.652822525230334e-06
159,6.769532856316693e-06,1.6445448091529726e-06
160,6.775058642577753e-06,1.6369251368846747e-06
161,6.779830291087372e-06,1.6298769426353025e-06
162,6.783954328926677e-06,1.6233279304039518e-06
163,6.787518256135546e-06,1.6172171938318498e-06
164,6.790594334241239e-06,1.6114929870156866e-06
165,6.793242469220727e-06,1.6061109819808833e-06
166,6.795512425224947e-06,1.601032893412827e-06
167,6.797445537102528e-06,1.596225382959712e-06
168,6.7990760425266325e-06,1.5916591780377593e-06
169,6.800432121407068e-06,1.5873083563463855e-06
170,6.801536706717264e-06,1.583149759114944e-06
171,6.802408113869441e-06,1.579162504742717e-06
172,6.803060523305179e-06,1.5753275808513779e-06
173,6.80350434164944e-06,1.5716274974653284e-06
174,6.80374645964183e-06,1.5680459875051678e-06
175,6.803790419425143e-06,1.5645677433282348e-06
176,6.803636499135468e-06,1.5611781798909585e-06
177,6.8032817187134725e-06,1.5578632163869604e-06
178,6.8027197671250554e-06,1.5546090690284553e-06
179,6.801940847455401e-06,1.551402048042552e-06
180,6.800931432337423e-06,1.548228351969883e-06
181,6.799673917575973e-06,1.545073851969239e-06
182,6.798146156245787e-06,1.5419238580014884e-06
183,6.79632084847008e-06,1.5387628574000882e-06
184,6.794164752840071e-06,1.5355742142904548e-06
185,6.791637673043173e-06,1.532339815378393e-06
186,6.788691156329049e-06,1.5290396434655153e-06
187,6.785266816898873e-06,1.525651254190586e-06
188,6.7812941640787345e-06,1.5221491232378706e-06
189,6.776687767574517e-06,1.5185038195574666e-06
190,6.771343523049133e-06,1.5146809434610774e-06
191,6.765133679588787e-06,1.51063974447326e-06
192,6.757900138816983e-06,1.506331299045607e-06
193,6.7494453055814615e-06,1.5016960774100675e-06
194,6.73951941742184e-06,1.4966606539824599e-06
195,6.7278027317025215e-06,1.4911332047808002e-06
196,6.713880086933757e-06,1.4849972702236762e-06
197,6.697203985623146e-06,1.4781030157041947e-06
198,6.6770401590255205e-06,1.4702548570323956e-06
199,6.652386079653795e-06,1.4611937804106225e-06
200,6.621847354355502e-06,1.4505719110041092e-06
201,6.583448396420978e-06,1.4379158048693325e-06
202,6.534341389310708e-06,1.4225735453881448e-06
203,6.470362080335434e-06,1.4036392588817612e-06
204,6.385369827733297e-06,1.3798484010142967e-06
205,6.270332112628608e-06,1.3494438784067373e-06
206,6.11226597019526e-06,1.3100531234533395e-06
207,5.893710193363322e-06,1.2588096523792133e-06
208,5.595130002198222e-06,1.1938029176099626e-06
209,5.207392660868819e-06,1.1209778770044796e-06
210,5.176003799135271e-06,2.7080664315388204e-06
211,5.4692397579688915e-06,2.5018628662166485e-06
212,5.7192587822253915e-06,2.3457255385739524e-06
213,5.920800612825641e-06,2.2252463358944324e-06
214,6.079035473766241e-06,2.1304699927747164e-06
215,6.202230585077996e-06,2.054661169517496e-06
216,6.298338058582312e-06,1.9931154652893805e-06
217,6.373890238783615e-06,1.9424508404121823e-06
218,6.433902090003016e-06,1.9001900691976159e-06
219,6.482110844209918e-06,1.8644958980587539e-06
220,6.5212725647006095e-06,1.8339919514172699e-06
221,6.553420144163126e-06,1.807637203677827e-06
222,6.580062450496386e-06,1.7846365261559614e-06
223,6.602330203594699e-06,1.7643764372663467e-06
224,6.621080369869928e-06,1.7463787104918119e-06
225,6.636970250437228e-06,1.7302666975550954e-06
226,6.6505100660869394e-06,1.7157407286135188e-06
227,6.662100468231279e-06,1.7025600121554744e-06
228,6.672059509498266e-06,1.6905292094326942e-06
229,6.680642221262757e-06,1.6794883899800843e-06
230,6.688054971852477e-06,1.6693054492956387e-06
231,6.694466108397734e-06,1.6598703330740813e-06
232,6.700013926541981e-06,1.6510905976197025e-06
233,6.7048126986666664e-06,1.6428879667023739e-06
234,6.708957276186848e-06,1.6351956376489215e-06
235,6.712526633000056e-06,1.6279561553576529e-06
236,6.715586613867565e-06,1.6211197201501698e-06
237,6.718192078977382e-06,1.614642829452876e-06
238,6.720388584508963e-06,1.608487178065206e-06
239,6.722213702163585e-06,1.6026187598942905e-06
240,6.723698053908225e-06,1.597007127386182e-06
241,6.724866118568474e-06,1.5916247747771521e-06
242,6.725736852296697e-06,1.5864466186545177e-06
243,6.726324153864517e-06,1.5814495548154782e-06
244,6.726637197137114e-06,1.576612074514904e-06
245,6.726680646220688e-06,1.5719139262342415e-06
246,6.726454763064247e-06,1.5673358113211593e-06
247,6.725955412297133e-06,1.5628591034086818e-06
248,6.725173963422367e-06,1.5584655825336886e-06
249,6.724097085825578e-06,1.5541371754041706e-06
250,6.72270642706146e-06,1.5498556933409027e-06
251,6.720978159170708e-06,1.5456025590350923e-06
252,6.718882370909629e-06,1.5413585123742522e-06
253,6.716382275165415e-06,1.537103284106412e-06
254,6.713433189708734e-06,1.5328152238960863e-06
255,6.709981234733078e-06,1.5284708661617188e-06
256,6.705961670839075e-06,1.5240444126644202e-06
257,6.701296774079552e-06,1.5195071046976671e-06
258,6.695893107249029e-06,1.5148264492732007e-06
259,6.689637994177956e-06,1.5099652520061377e-06
260,6.682394929572061e-06,1.5048803931867537e-06
261,6.673997550791591e-06,1.499521260964517e-06
262,6.664241644749077e-06,1.4938277240922508e-06
263,6.652874440148961e-06,1.4877274827083736e-06
264,6.639580108791321e-06,1.481132574304524e-06
265,6.623959919764784e-06,1.4739347269712602e-06
266,6.6055047853311285e-06,1.4659991355477884e-06
267,6.583556908903189e-06,1.4571560806713438e-06
268,6.557255772615521e-06,1.447189612169741e-06
269,6.525461672558501e-06,1.4358222878124417e-06
270,6.486647433151488e-06,1.4226947488445318e-06
271,6.438746259659139e-06,1.4073388847836394e-06
272,6.378942641538999e-06,1.3891439196442094e-06
273,6.30339879343825e-06,1.3673170442903813e-06
274,6.206934100070261e-06,1.3408470670991989e-06
275,6.082749269746385e-06,1.3084982714666851e-06
276,5.922473101651129e-06,1.2689102861610155e-06
277,5.717216829480583e-06,1.220994874919044e-06
278,5.461047313555887e-06,1.165020059278475e-06
279,5.158977352269803e-06,1.1046519526202358e-06
280,5.139966621557187e-06,2.7946577912614054e-06
281,5.380066750737878e-06,2.610098305401525e-06
282,5.59476632986448e-06,2.459267936089568e-06
283,5.777809909405396e-06,2.336641756423097e-06
284,5.929451006151832e-06,2.2364913211717557e-06
285,6.053239730707586e-06,2.154034455611333e-06
286,6.153754191244323e-06,2.085506739470103e-06
287,6.2354217176094795e-06,2.027991865337014e-06
288,6.302053706345287e-06,1.979237460226269e-06
289,6.356749703689429e-06,1.9375017786678926e-06
290,6.401959054832737e-06,1.9014335812086626e-06
291,6.4395919402577955e-06,1.8699797259752368e-06
292,6.4711320211493495e-06,1.8423146752954162e-06
293,6.497733355438255e-06,1.8177870025671881e-06
294,6.52029791911114e-06,1.7958789250401228e-06
295,6.539535403640565e-06,1.7761757200343487e-06
296,6.556008518747776e-06,1.758342586339309e-06
297,6.570167049888065e-06,1.742107089339927e-06
298,6.582373421529247e-06,1.7272457864286106e-06
299,6.592921927067982e-06,1.713573983591615e-06
300,6.602053259983425e-06,1.70093784280969e-06
301,6.609965559069711e-06,1.6892082609509844e-06
302,6.616822859437208e-06,1.6782760898907717e-06
303,6.622761602827167e-06,1.6680483775644373e-06
304,6.627895686548722e-06,1.6584453906414813e-06
305,6.632320403603206e-06,1.6493982391633155e-06
306,6.636115534449253e-06,1.6408469675215663e-06
307,6.639347783767124e-06,1.6327390087607829e-06
308,6.642072706483774e-06,1.6250279234302812e-06
309,6.644336231163265e-06,1.617672362308846e-06
310,6.64617586202417e-06,1.6106352058978786e-06
311,6.647621620717951e-06,1.6038828437955235e-06
312,6.648696773721048e-06,1.5973845647784615e-06
313,6.649418379404887e-06,1.5911120342493887e-06
314,6.649797679559382e-06,1.5850388401080943e-06
315,6.649840352616401e-06,1.5791400914002482e-06
316,6.649546639480789e-06,1.5733920565267927e-06
317,6.648911347273619e-06,1.5677718295254963e-06
318,6.6479237310387e-06,1.5622570140785403e-06
319,6.646567248205189e-06,1.5568254155265439e-06
320,6.6448191749807555e-06,1.5514547313134273e-06
321,6.642650067481365e-06,1.5461222299466808e-06
322,6.640023042822917e-06,1.540804407697245e-06
323,6.6368928460262026e-06,1.5354766108064616e-06
324,6.633204656659378e-06,1.5301126087917462e-06
325,6.628892573638641e-06,1.5246841013664798e-06
326,6.623877696126315e-06,1.5191601372560518e-06
327,6.6180656910631696e-06,1.5135064174447045e-06
328,6.611343700834304e-06,1.5076844476402567e-06
329,6.603576394090281e-06,1.501650494340615e-06
330,6.594600893492346e-06,1.4953542849591948e-06
331,6.584220218679308e-06,1.4887373738945284e-06
332,6.572194750800031e-06,1.481731071821687e-06
333,6.558231042688212e-06,1.4742538032404384e-06
334,6.541967048325002e-06,1.4662077158773846e-06
335,6.522952505499299e-06,1.4574743140562475e-06
336,6.5006227561512005e-06,1.4479088280519748e-06
337,6.474263722392959e-06,1.4373329698829137e-06
338,6.442965109398913e-06,1.4255256830957779e-06
339,6.4055583326255814e-06,1.4122115178635128e-06
340,6.360535595328569e-06,1.3970464591650812e-06
341,6.30594800948511e-06,1.3796016289804494e-06
342,6.239285951609795e-06,1.3593467318189975e-06
343,6.157358681237735e-06,1.3356383220219096e-06
344,6.056221466677074e-06,1.307724615840081e-06
345,5.931261443397967e-06,1.274791262840673e-06
346,5.7776646863411025e-06,1.236093105704216e-06
347,5.591641310928712e-06,1.191235864077273e-06
348,5.372868876363518e-06,1.1406244425462213e-06
349,5.128171821298203e-06,1.085746418110724e-06
350,5.114594089078129e-06,2.846697395420712e-06
351,5.316295333565186e-06,2.6846119456160645e-06
352,5.501932620965741e-06,2.5446115396062424e-06
353,5.6662249634115e-06,2.425565052859596e-06
354,5.80772210396795e-06,2.324821366991446e-06
355,5.927526000649308e-06,2.239479969045393e-06
356,6.0280197209574844e-06,2.1668859577614764e-06
357,6.111990818289017e-06,2.1047728359172215e-06
358,6.182143068304452e-06,2.0512663141223536e-06
359,6.2408766876278476e-06,2.004840224507282e-06
360,6.290223262492254e-06,1.9642608382481735e-06
361,6.331857608198591e-06,1.9285333689562123e-06
362,6.367141255472348e-06,1.8968553494859175e-06
363,6.397174072204267e-06,1.8685778668978271e-06
364,6.422843240948773e-06,1.8431741606393886e-06
365,6.444865536318164e-06,1.8202145688773039e-06
366,6.463822095973271e-06,1.7993467118079648e-06
367,6.480186273391394e-06,1.7802798849905932e-06
368,6.4943456328201745e-06,1.7627727845604938e-06
369,6.506619196845163e-06,1.7466238450601448e-06
370,6.517270937543649e-06,1.7316636157678232e-06
371,6.526520333328223e-06,1.71774872444235e-06
372,6.534550647631697e-06,1.7047570773967092e-06
373,6.541515441954938e-06,1.692584024030327e-06
374,6.547543718844155e-06,1.6811392757236814e-06
375,6.552743998209497e-06,1.6703444167101794e-06
376,6.557207559094449e-06,1.6601308811890263e-06
377,6.5610110243637055e-06,1.6504382990192688e-06
378,6.564218424071475e-06,1.6412131338282743e-06
379,6.56688284144063e-06,1.6324075538289111e-06
380,6.569047721012183e-06,1.6239784882609174e-06
381,6.570747899750606e-06,1.6158868320606109e-06
382,6.572010407291318e-06,1.608096768805426e-06
383,6.572855070009207e-06,1.6005751876922036e-06
384,6.5732949443425915e-06,1.5932911746777206e-06
385,6.5733365971833275e-06,1.5862155612248898e-06
386,6.572980244631534e-06,1.5793205165708877e-06
387,6.572219754593141e-06,1.5725791712178867e-06
388,6.571042513207052e-06,1.5659652605500692e-06
389,6.569429149587905e-06,1.5594527781708341e-06
390,6.567353107521602e-06,1.553015628767177e-06
391,6.56478004618518e-06,1.5466272700493466e-06
392,6.56166704425258e-06,1.5402603325582877e-06
393,6.557961572369827e-06,1.5338862048247068e-06
394,6.553600187273133e-06,1.5274745694099285e-06
395,6.548506885920132e-06,1.5209928726270747e-06
396,6.542591038776111e-06,1.5144057070501582e-06
397,6.5357447963490125e-06,1.5076740810306116e-06
398,6.527839830229669e-06,1.5007545430551595e-06
399,6.518723226697056e-06,1.4935981205324328e-06
400,6.508212294106632e-06,1.486149022078488e-06
401,6.496087970747545e-06,1.4783430391791473e-06
402,6.482086422995645e-06,1.4701055669669713e-06
403,6.465888299861326e-06,1.4613491448918754e-06
404,6.447104956812181e-06,1.4519703973651118e-06
405,6.425260782560097e-06,1.4418462351061273e-06
406,6.399770576053302e-06,1.4308291670251537e-06
407,6.369910779569128e-06,1.4187415848342937e-06
408,6.334783399694466e-06,1.4053689472946767e-06
409,6.293271900734311e-06,1.3904519628959231e-06
410,6.243989752179878e-06,1.3736782481554885e-06
411,6.185225625786993e-06,1.354674695438316e-06
412,6.114896173759241e-06,1.3330031958145145e-06
413,6.030530574547801e-06,1.3081648138968357e-06
414,5.929334102532528e-06,1.279621343127517e-06
415,5.808413189049889e-06,1.2468479645512766e-06
416,5.665285954712279e-06,1.2094329824192508e-06
417,5.498817771526874e-06,1.1672277678518422e-06
418,5.310617192327336e-06,1.1204908240298063e-06
419,5.106516462232842e-06,1.0698224071684138e-06
420,5.096015228647738e-06,2.8796090781126656e-06
421,5.268587859743358e-06,2.7370457931895975e-06
422,5.430445184850564e-06,2.609005569250986e-06
423,5.5774372235293585e-06,2.4961888356312015e-06
424,5.70768866421025e-06,2.397751473592499e-06
425,5.8211246163938165e-06,2.3121797103401163e-06
426,5.918809868387271e-06,2.2377853646774953e-06
427,6.0023805420261626e-06,2.172947907964891e-06
428,6.073652615869832e-06,2.116215179604034e-06
429,6.134392067709506e-06,2.0663322373088104e-06
430,6.18620087230708e-06,2.022236333494765e-06
431,6.230474994170278e-06,1.9830376418808024e-06
432,6.268402209820983e-06,1.947995518005411e-06
433,6.300979216638743e-06,1.916494955614377e-06
