,0,1
0,5.58328390924381e-06,1.746756699399233e-06
1,6.196768540935361e-06,1.846600619646726e-06
2,6.505054558328734e-06,1.7935695551934114e-06
3,6.669150464016778e-06,1.7423440671920356e-06
4,6.762195607611897e-06,1.704260317638977e-06
5,6.818329583558913e-06,1.6764799811423925e-06
6,6.854214840386087e-06,1.6558448811664093e-06
7,6.878382139093925e-06,1.6401183711647143e-06
8,6.895412790097987e-06,1.6278161825634005e-06
9,6.9078848496284425e-06,1.6179573372651363e-06
10,6.917315898450258e-06,1.6098845151960668e-06
11,6.924638211676334e-06,1.603148269104446e-06
12,6.930447723913831e-06,1.5974343430572157e-06
13,6.935139500844213e-06,1.5925180295154772e-06
14,6.938984202907164e-06,1.5882351697023583e-06
15,6.942172786471678e-06,1.5844634147867038e-06
16,6.944843523214296e-06,1.581109883060066e-06
17,6.9470988522098046e-06,1.5781028669138065e-06
18,6.949016201922923e-06,1.5753861502276394e-06
19,6.950655129394716e-06,1.5729150400400237e-06
20,6.952062147339473e-06,1.5706535451651214e-06
21,6.953274061853223e-06,1.5685723361947436e-06
22,6.95432032748565e-06,1.5666472471168341e-06
23,6.955224739500188e-06,1.5648581585211384e-06
24,6.956006669801725e-06,1.5631881537660945e-06
25,6.956681982663928e-06,1.5616228731716655e-06
26,6.957263721758208e-06,1.5601500137418231e-06
27,6.957762631079962e-06,1.5587589370961804e-06
28,6.958187553276063e-06,1.5574403587033143e-06
29,6.958545736031974e-06,1.5561860987499767e-06
30,6.958843068377072e-06,1.554988880078313e-06
31,6.959084262630486e-06,1.5538421622506757e-06
32,6.9592729933506905e-06,1.5527400034051822e-06
33,6.9594120014913516e-06,1.5516769434445093e-06
34,6.959503169617406e-06,1.550647903458512e-06
35,6.959547572234948e-06,1.5496480972558673e-06
36,6.959545503849652e-06,1.5486729515646111e-06
37,6.9594964861533504e-06,1.5477180319178628e-06
38,6.959399254637454e-06,1.5467789715078498e-06
39,6.959251723850024e-06,1.5458514003885393e-06
40,6.959050929356514e-06,1.5449308723383964e-06
41,6.958792943128543e-06,1.5440127864473973e-06
42,6.958472757441415e-06,1.5430923000350935e-06
43,6.958084130237545e-06,1.5421642287840184e-06
44,6.957619382065396e-06,1.5412229288969978e-06
45,6.957069130775587e-06,1.5402621545220163e-06
46,6.956421944608728e-06,1.5392748814262434e-06
47,6.9556638863130945e-06,1.5382530846226757e-06
48,6.954777909176188e-06,1.5371874528649474e-06
49,6.9537430482407025e-06,1.5360670158554547e-06
50,6.952533323054306e-06,1.5348786494319373e-06
51,6.9511162263007175e-06,1.5336064079318155e-06
52,6.949450605699532e-06,1.5322306081490528e-06
