,0
0,5.6203218872625104e-06
1,6.175384339857795e-06
2,6.500478184744147e-06
3,6.682203066339345e-06
4,6.783254443906831e-06
5,6.840752080686777e-06
6,6.8748423744232e-06
7,6.896130559145678e-06
8,6.910189527624785e-06
9,6.9199920568486955e-06
10,6.927166104054766e-06
11,6.932634353808498e-06
12,6.9369411095359164e-06
13,6.940421600591875e-06
14,6.943291483203552e-06
15,6.945695409854876e-06
16,6.947734210700824e-06
17,6.94948063239613e-06
18,6.95098878263923e-06
19,6.9523000028196426e-06
20,6.953446644607187e-06
21,6.954454573109163e-06
22,6.955344869071145e-06
23,6.956135010123853e-06
24,6.956839702413849e-06
25,6.9574714709080404e-06
26,6.958041079078446e-06
27,6.95855782567264e-06
28,6.9590297518307875e-06
29,6.959463782496974e-06
30,6.959865819893734e-06
31,6.960240802593165e-06
32,6.960592740701824e-06
33,6.960924735432123e-06
34,6.961238989577602e-06
35,6.9615368139603674e-06
36,6.961818633651495e-06
37,6.962083996589683e-06
38,6.962331586072055e-06
39,6.962559237410485e-06
40,6.9627639577960755e-06
41,6.962941947061397e-06
42,6.9630886155476044e-06
43,6.963198593638799e-06
44,6.9632657256636655e-06
45,6.963283038676315e-06
46,6.963242673908172e-06
47,6.963135765052341e-06
48,6.962952242329732e-06
49,6.962680533316233e-06
50,6.96230711870797e-06
51,6.96181587983784e-06
52,6.96118713793856e-06
53,6.960396219758118e-06
54,6.959411264518539e-06
55,6.958189761957771e-06
56,6.956672875164764e-06
57,6.9547757363185614e-06
58,6.9523701463265495e-06
59,6.949252473320568e-06
60,6.945081897392039e-06
61,6.939257843134424e-06
62,6.9306702776576195e-06
63,6.917179997438507e-06
64,6.8945180189794536e-06
65,6.8539219044168185e-06
66,6.77700256826404e-06
67,6.624522109954232e-06
68,6.312123043597136e-06
69,5.662829993230708e-06
70,5.355777559580004e-06
71,5.9035218624713325e-06
72,6.227845170672509e-06
73,6.436697867338244e-06
74,6.568411777108224e-06
75,6.6519290043709636e-06
76,6.706461880135534e-06
77,6.7435611446641956e-06
78,6.769929326417523e-06
79,6.7894549966620255e-06
80,6.8044373277725635e-06
81,6.816276525985616e-06
82,6.825855761340921e-06
83,6.833753126174237e-06
84,6.840361119767234e-06
85,6.845955589393623e-06
86,6.850736637525562e-06
87,6.8548536461378936e-06
88,6.858421067229826e-06
89,6.861528688240174e-06
90,6.864248489095785e-06
91,6.866639330528758e-06
92,6.868750219901167e-06
93,6.870622616807127e-06
94,6.8722920733239755e-06
95,6.873789402677603e-06
96,6.87514150751542e-06
97,6.876371959291232e-06
98,6.877501394435926e-06
99,6.878547775705642e-06
100,6.879526555186231e-06
101,6.880450766960276e-06
102,6.881331071228628e-06
103,6.882175766985094e-06
104,6.882990786695969e-06
105,6.883779683508074e-06
106,6.884543619050139e-06
107,6.885281357690749e-06
108,6.88598927097899e-06
109,6.886661353742295e-06
110,6.8872892507889755e-06
111,6.887862290221042e-06
112,6.8883675158896785e-06
113,6.888789707416199e-06
114,6.88911137133267e-06
115,6.88931268107281e-06
116,6.8893713364021635e-06
117,6.889262303740067e-06
118,6.888957386469452e-06
119,6.888424556600142e-06
120,6.887626952309044e-06
121,6.886521403424632e-06
122,6.885056277375541e-06
123,6.883168320763398e-06
124,6.880777968193677e-06
125,6.8777822275467145e-06
126,6.874043588405418e-06
127,6.8693721590768125e-06
128,6.863495857926746e-06
129,6.85600882897498e-06
130,6.846278984402749e-06
131,6.833276867049378e-06
132,6.8152498179951055e-06
133,6.789086616281859e-06
134,6.749053260564828e-06
135,6.684231524953666e-06
136,6.57324442658137e-06
137,6.373431933168592e-06
138,6.001912822645194e-06
139,5.34617939597892e-06
140,5.276439782113732e-06
141,5.739067573295735e-06
142,6.032655646150179e-06
143,6.239881597828491e-06
144,6.384346223653029e-06
145,6.48381970354383e-06
146,6.552977507623388e-06
147,6.602276187960257e-06
148,6.638541739281757e-06
149,6.666079888735791e-06
150,6.687599520020751e-06
151,6.704831178518711e-06
152,6.718908324878359e-06
153,6.730595494358984e-06
154,6.740424405724892e-06
155,6.748776081794248e-06
156,6.755931374909162e-06
157,6.762102806008088e-06
158,6.7674551476442575e-06
159,6.772119068162213e-06
160,6.776200386154309e-06
161,6.779786471492562e-06
162,6.782950740751565e-06
163,6.785755846821372e-06
164,6.78825595259588e-06
165,6.790498349319454e-06
166,6.7925245987410685e-06
167,6.794371325705409e-06
168,6.796070753043494e-06
169,6.797651046942002e-06
170,6.799136524342086e-06
171,6.800547761895522e-06
172,6.801901637088663e-06
173,6.803211325398664e-06
174,6.8044862721614445e-06
175,6.805732153769136e-06
176,6.8069508395184006e-06
177,6.808140362571507e-06
178,6.809294905749127e-06
179,6.810404804933754e-06
180,6.81145656943004e-06
181,6.812432914437764e-06
