,0,1
0,5.620336515215074e-06,1.8216780275753212e-06
1,6.1754095510782e-06,1.3028152740845478e-06
2,6.500502589409457e-06,1.1716230173998134e-06
3,6.68221847814679e-06,1.1184138445908031e-06
4,6.783259726844404e-06,1.0888563265622628e-06
5,6.840750902519768e-06,1.069716026675412e-06
6,6.874838719682452e-06,1.0562689190553472e-06
7,6.896126527611376e-06,1.0463085964954902e-06
8,6.910185656639434e-06,1.0386429011804047e-06
9,6.919988257075639e-06,1.0325706441467562e-06
10,6.9271622348784515e-06,1.0276536897447096e-06
11,6.932630427314927e-06,1.0236046996259904e-06
12,6.936937307522087e-06,1.0202274762310834e-06
13,6.940418225170475e-06,1.0173833969915775e-06
14,6.943288892305103e-06,1.0149716070382103e-06
15,6.945693954888886e-06,1.0129168362035375e-06
16,6.9477341819737234e-06,1.0111616268238328e-06
17,6.949482215267922e-06,1.0096612138725819e-06
18,6.9509920270606205e-06,1.0083800574490045e-06
19,6.952304808323533e-06,1.0072894386566306e-06
20,6.953452761535907e-06,1.0063657603297407e-06
21,6.954461619123955e-06,1.0055893272584686e-06
22,6.9553523582912875e-06,1.004943459775651e-06
23,6.956142390987343e-06,1.004413843002707e-06
24,6.956846399769825e-06,1.0039880445249318e-06
25,6.957476927977781e-06,1.0036551530351365e-06
26,6.958044795631677e-06,1.0034055037404105e-06
27,6.958559389836576e-06,1.0032304655294776e-06
28,6.959028864128762e-06,1.0031222715092082e-06
29,6.959460271777658e-06,1.0030738794176571e-06
30,6.959859651602565e-06,1.0030788521442433e-06
31,6.9602320802790035e-06,1.003131251470516e-06
32,6.960581701748623e-06,1.0032255404029476e-06
33,6.960911741826937e-06,1.003356491246455e-06
34,6.961224514185179e-06,1.0035190979635433e-06
35,6.96152142240234e-06,1.003708492448887e-06
36,6.961802961613122e-06,1.0039198651707087e-06
37,6.962068722305807e-06,1.0041483912181014e-06
38,6.962317397945443e-06,1.004389163160972e-06
39,6.962546797210831e-06,1.0046371322763027e-06
40,6.962753860641169e-06,1.0048870596087885e-06
41,6.962934680299672e-06,1.00513347799616e-06
42,6.963084519596275e-06,1.005370665577128e-06
43,6.963197828596523e-06,1.0055926303938804e-06
44,6.963268247908221e-06,1.0057931044921193e-06
45,6.963288591491613e-06,1.0059655444152066e-06
46,6.9632507953371905e-06,1.0061031332072465e-06
47,6.963145814622012e-06,1.0061987770169499e-06
48,6.96296344615472e-06,1.0062450871601176e-06
49,6.962692044622121e-06,1.0062343360485515e-06
50,6.962318088408941e-06,1.0061583726314584e-06
51,6.961825529917222e-06,1.006008479646278e-06
52,6.961194829448434e-06,1.005775150442409e-06
53,6.960401507577435e-06,1.005447756276422e-06
54,6.959413932638849e-06,1.005014063699012e-06
55,6.958189835712669e-06,1.0044595422549021e-06
56,6.9566706097944214e-06,1.0037663685655254e-06
57,6.9547715834460304e-06,1.002911971846953e-06
58,6.952364699749216e-06,1.0018668552480414e-06
59,6.9492463909940205e-06,1.0005912227679426e-06
60,6.94507578564739e-06,9.990295535025201e-07
61,6.939252072716116e-06,9.971015049724558e-07
62,6.930664692977617e-06,9.946859783157728e-07
63,6.917173539526897e-06,9.915919091223742e-07
64,6.8945085652047205e-06,9.875026501727212e-07
65,6.853907250415966e-06,9.818716760754556e-07
66,6.776983407355505e-06,9.737866768921328e-07
67,6.624504947519908e-06,9.62538402919914e-07
68,6.312117259712707e-06,9.57041813828693e-07
69,5.662835324940553e-06,1.0683851958703086e-06
70,5.35579621338012e-06,2.226653087586356e-06
71,5.903572672316136e-06,1.6188338772421788e-06
72,6.227913674406572e-06,1.3847973066537689e-06
73,6.436761099626702e-06,1.2798908897929805e-06
74,6.568454974211024e-06,1.2202906999855324e-06
75,6.651951290063418e-06,1.1797571933829425e-06
76,6.706469693213407e-06,1.1493817894557095e-06
77,6.743560844551755e-06,1.1255037456870388e-06
78,6.76992478688474e-06,1.106239800742701e-06
79,6.789448255494552e-06,1.0904370065694407e-06
80,6.804429627621181e-06,1.0773132788964977e-06
81,6.816268899355082e-06,1.0663084521625842e-06
82,6.825849224530576e-06,1.0570089674899019e-06
83,6.833748676273482e-06,1.0491033751162787e-06
84,6.8403596570021805e-06,1.0423533949163885e-06
85,6.845957823368802e-06,1.0365740901020063e-06
86,6.850743004473018e-06,1.0316198985635367e-06
87,6.8548642511129334e-06,1.0273746264304185e-06
88,6.858435658701104e-06,1.0237441980524987e-06
89,6.861546667588658e-06,1.0206513572952692e-06
90,6.8642689528671615e-06,1.0180317678948422e-06
91,6.866661139170386e-06,1.0158311271029467e-06
92,6.8687720838143585e-06,1.0140030188783066e-06
93,6.870643189313166e-06,1.0125073093606406e-06
