,0
0,1.8216698664052977e-06
1,1.3028079599750952e-06
2,1.1716192983126113e-06
3,1.11841301324104e-06
4,1.088858902187132e-06
5,1.069720213563972e-06
6,1.0562721519741271e-06
7,1.046309862683261e-06
8,1.0386425378271795e-06
9,1.0325694693356764e-06
10,1.0276525597751945e-06
11,1.0236043438256136e-06
12,1.0202284300802172e-06
13,1.0173859688948072e-06
14,1.014975864778156e-06
15,1.0129226127441171e-06
16,1.0111685463951519e-06
17,1.009668737138853e-06
18,1.0083875418815203e-06
19,1.0072962080625935e-06
20,1.0063711762857816e-06
21,1.0055928551039066e-06
22,1.00494472273916e-06
23,1.0044126597090758e-06
24,1.0039844472153478e-06
25,1.0036493859876945e-06
26,1.0033980033040967e-06
27,1.0032218246832692e-06
28,1.003113192832302e-06
29,1.0030651208089515e-06
30,1.0030711696359459e-06
31,1.0031253431631982e-06
32,1.0032219950410922e-06
33,1.0033557443733158e-06
34,1.0035213980263153e-06
35,1.0037138787099065e-06
36,1.0039281588128587e-06
37,1.0041592005708495e-06
38,1.0044019034530126e-06
39,1.0046510596733072e-06
40,1.0049013184697973e-06
41,1.0051471592671436e-06
42,1.0053828730777531e-06
43,1.0056025505499686e-06
44,1.005800073989854e-06
45,1.0059691095171249e-06
46,1.006103094300913e-06
47,1.0061952125592192e-06
48,1.0062383526424846e-06
49,1.0062250359169334e-06
50,1.006147306052661e-06
51,1.0059965642559933e-06
52,1.0057633312302507e-06
53,1.0054369089966175e-06
54,1.0050049031278073e-06
55,1.0044525449158322e-06
56,1.0037617171775876e-06
57,1.002909525063272e-06
58,1.0018661420166223e-06
59,1.0005914572026438e-06
60,9.9902966617907e-07
61,9.97100197324364e-07
62,9.946818494128075e-07
63,9.91583813930317e-07
64,9.874905008229936e-07
65,9.818569834977282e-07
66,9.7377159823611e-07
67,9.625260090688328e-07
68,9.570385789550594e-07
69,1.0683878265988568e-06
70,2.226635809722224e-06
71,1.6188098780268464e-06
72,1.384778525046601e-06
73,1.2798795710381024e-06
74,1.2202901412954052e-06
75,1.1797647149850216e-06
76,1.14939072223975e-06
77,1.1255099596556618e-06
78,1.1062430446581084e-06
79,1.0904390728350576e-06
80,1.0773163945805702e-06
81,1.066314483871289e-06
82,1.0570191193071784e-06
83,1.0491181041667243e-06
84,1.04237242376725e-06
85,1.0365964786063376e-06
86,1.0316441654078553e-06
87,1.0273989133755256e-06
88,1.0237664648862918e-06
89,1.0206695903441095e-06
