,0
0,11795824.083170382
1,5742195.834307093
2,5562583.282964423
3,5460500.301778408
4,5394072.502985109
5,5353166.554955954
6,5328565.034702474
7,5313637.746873242
8,5304323.741900118
9,5298289.241057444
10,5294215.41087916
11,5291351.770127557
12,5289262.598435188
13,5287687.84030023
14,5286467.305839766
15,5285499.024744731
16,5284715.970406705
17,5284072.748075008
18,5283537.772645536
19,5283088.533919928
20,5282708.640743615
21,5282385.917657262
22,5282111.142057732
23,5281877.18264411
24,5281678.396841234
25,5281510.200451235
26,5281368.755334912
27,5281250.740397499
28,5281153.183029231
29,5281073.33552724
30,5281008.585694537
31,5280956.393832069
32,5280914.2503427835
33,5280879.649527365
34,5280850.076086908
35,5280823.001477501
36,5280795.88764668
37,5280766.195852228
38,5280731.398237337
39,5280688.9896293925
40,5280636.496663918
41,5280571.480833636
42,5280491.531443774
43,5280394.243715198
44,5280277.176368481
45,5280137.7818173645
46,5279973.300344222
47,5279780.60686627
48,5279555.994346461
49,5279294.8702256
50,5278991.329147571
51,5278637.542615784
52,5278222.866520011
53,5277732.49646397
54,5277145.370925374
55,5276430.779042258
56,5275542.664040759
57,5274409.703175831
58,5272917.435375214
59,5270875.057361048
60,5267952.060507684
61,5263554.542131567
62,5256579.167420039
63,5244915.82488776
64,5224426.801920519
65,5186821.318311377
66,5115276.216673865
67,4977194.250230085
68,4735556.155603929
69,7296443.111661534
70,4437844.195289666
71,-57632.301020118146
72,-2792.185951190723
73,32045.158448708855
74,39705.9278870293
75,35825.159743742006
76,29331.273147906344
77,23350.941852214863
78,18573.124792199873
79,14917.760361978108
80,12140.68201672519
81,10013.2170604134
82,8359.33745876268
83,7052.054182897492
84,6001.652192596483
85,5144.872725050034
86,4436.798616720828
87,3845.1787080347954
88,3346.5549911153876
89,2923.6304274367935
90,2563.467698485373
91,2256.2408457583165
92,1994.35664923731
93,1771.8263359265738
94,1583.8097292420698
95,1426.2806404474854
96,1295.7793856735284
97,1189.2292523739661
98,1103.8007831916427
99,1036.8123360293882
100,985.6584401264878
101,947.7595829257298
102,920.52859047571
103,901.3499133730955
104,887.5690085701286
105,876.4896587522346
106,865.3775028134799
107,851.4682543018387
108,831.9790495903321
109,804.1210930249349
110,765.111265014693
111,712.1796566488289
112,642.5691229374964
113,553.5219296771928
114,442.24739905048057
115,305.8630655738067
