,0
0,37183981.08639351
1,10452769.208019556
2,10731893.680689184
3,10828708.948115878
4,10864436.256004933
5,10880650.82354795
6,10889888.611921644
7,10896053.040075123
8,10900535.65894981
9,10903945.710343823
10,10906610.854263144
11,10908735.0133622
12,10910456.010403607
13,10911871.085115552
14,10913050.498954669
15,10914045.817751614
16,10914895.352438314
17,10915627.877352234
18,10916265.226859512
19,10916824.134321287
20,10917317.549314898
21,10917755.590976827
22,10918146.244664036
23,10918495.875284648
24,10918809.607810615
25,10919091.610053608
26,10919345.30239504
27,10919573.512207283
28,10919778.586080233
29,10919962.469902992
30,10920126.764802223
31,10920272.765524477
32,10920401.486804834
33,10920513.682408854
34,10920609.860753272
35,10920690.300234124
36,10920755.066583885
37,10920804.033731982
38,10920836.908764986
39,10920853.260698007
40,10920852.551914394
41,10920834.17035263
42,10920797.459868025
43,10920741.745720673
44,10920666.351877157
45,10920570.606778169
46,10920453.834407154
47,10920315.327859337
48,10920154.30310699
49,10919969.83126059
50,10919760.748414986
51,10919525.543481393
52,10919262.227150705
53,10918968.191449976
54,10918640.083990952
55,10918273.754274612
56,10917864.40346807
57,10917407.23130482
58,10916899.225029426
59,10916343.488663519
60,10915759.111556377
61,10915202.941027075
62,10914816.627336724
63,10914926.815017713
64,10916256.725846829
65,10920370.101301966
66,10930536.997666316
67,10952290.27543244
68,10978276.161521358
69,37266610.67965186
70,26687999.322212
71,-109289.52033589603
72,-114383.97849482202
73,-68370.59405763503
74,-43658.064802375186
75,-32076.37414535014
76,-25727.342857496224
77,-21420.576646933936
78,-18086.461328084173
79,-15363.720160349556
80,-13100.514468374626
81,-11206.192044401163
82,-9612.245926904656
83,-8262.929690732148
84,-7112.693982273822
85,-6124.757599553108
86,-5269.741898666776
87,-4524.334608315535
88,-3870.081309620711
89,-3292.3592997889605
90,-2779.54104475619
91,-2322.3288825280747
92,-1913.2338112071977
93,-1546.1711842976792
94,-1216.14968994309
95,-919.0343506115812
96,-651.368233315939
97,-410.24071470904425
98,-193.1924924355688
99,1.8507796739315325
100,176.62314391204717
101,332.5472817561932
102,470.7530077913324
103,592.0898970388421
104,697.1379515404342
105,786.2194992324255
106,859.4147529405108
