,0,1
0,5.620321790486154e-06,1.821669815501168e-06
1,6.175384178090734e-06,1.3028078852493787e-06
2,6.500478032111947e-06,1.1716192121543215e-06
3,6.682202973496054e-06,1.118412935804942e-06
4,6.78325442233946e-06,1.088858848001062e-06
5,6.840752112431428e-06,1.0697201869815346e-06
6,6.874842431786587e-06,1.0562721491843445e-06
7,6.896130620025499e-06,1.0463098762509603e-06
8,6.910189580824482e-06,1.0386425602723773e-06
9,6.919992099976239e-06,1.032569494686241e-06
10,6.927166139114903e-06,1.0276525837317877e-06
11,6.932634383756725e-06,1.0236043634397144e-06
12,6.936941136536812e-06,1.020228443432591e-06
13,6.9404216254672425e-06,1.0173859748945281e-06
14,6.9432915054309145e-06,1.014975863054779e-06
15,6.945695427751228e-06,1.0129226035822403e-06
16,6.9477342216733005e-06,1.0111685306699532e-06
17,6.9494806332650574e-06,1.0096687162231162e-06
18,6.950988770068971e-06,1.0083875175081087e-06
19,6.952299973869314e-06,1.0072961821433404e-06
20,6.953446597366453e-06,1.006371150706131e-06
21,6.9544545073360446e-06,1.005592831527215e-06
22,6.955344786716544e-06,1.0049447024598557e-06
23,6.956134915622763e-06,1.0044126435870378e-06
24,6.956839602648973e-06,1.0039844357059708e-06
25,6.957471374802095e-06,1.0036493792580212e-06
26,6.958040996834483e-06,1.0033980014021253e-06
27,6.958557767742622e-06,1.0032218277119198e-06
28,6.959029727738862e-06,1.0031132010759802e-06
29,6.959463799667807e-06,1.0030651347703647e-06
30,6.959865882636349e-06,1.0030711899613997e-06
31,6.960240911370435e-06,1.0031253704612098e-06
32,6.960592891781204e-06,1.0032220296258688e-06
33,6.960924920970833e-06,1.0033557859858123e-06
34,6.961239198150538e-06,1.003521445596811e-06
35,6.96153703149461e-06,1.0037139302249215e-06
36,6.961818844689204e-06,1.0039282113354077e-06
37,6.962084185762887e-06,1.0041592504382797e-06
38,6.96233173964086e-06,1.0044019466446066e-06
39,6.9625593446946695e-06,1.0046510923057026e-06
40,6.962764012324665e-06,1.0049013373482165e-06
41,6.962941947281491e-06,1.005147162400856e-06
42,6.9630885649761766e-06,1.0053828600643851e-06
43,6.963198500408864e-06,1.0056025227482232e-06
44,6.96326560150212e-06,1.005800034433122e-06
45,6.963282897441468e-06,1.0059690625663597e-06
46,6.96324252989244e-06,1.0061030450850175e-06
47,6.963135631301111e-06,1.0061951662938311e-06
48,6.962952129227275e-06,1.0062383139427334e-06
49,6.962680447639717e-06,1.0062250082195697e-06
50,6.962307063260066e-06,1.0061472912372886e-06
51,6.961815853657548e-06,1.005996562510474e-06
52,6.96118713698572e-06,1.0057633411537755e-06
53,6.960396237896069e-06,1.0054369278893142e-06
54,6.959411294597085e-06,1.0050049273892753e-06
55,6.958189796828004e-06,1.0044525704712078e-06
56,6.956672908526806e-06,1.0037617398655108e-06
57,6.954775763394583e-06,1.002909540945981e-06
58,6.952370164447145e-06,1.0018661475971055e-06
59,6.949252482594593e-06,1.000591449551329e-06
60,6.945081901650859e-06,9.990296429948913e-07
61,6.9392578511509145e-06,9.971001570268427e-07
62,6.9306703039514754e-06,9.946817915337268e-07
63,6.917180060679931e-06,9.91583740250851e-07
64,6.894518135055159e-06,9.874904174563034e-07
65,6.853922073160897e-06,9.818569029768425e-07
66,6.777002759565732e-06,9.737715391587065e-07
67,6.624522263319053e-06,9.625259906798053e-07
68,6.312123098055083e-06,9.570386083422544e-07
69,5.662829960963473e-06,1.0683878630562577e-06
70,5.355777431141769e-06,2.226635746881778e-06
71,5.903521532925246e-06,1.618809712902805e-06
72,6.2278447358042765e-06,1.3847782797100052e-06
73,6.436697450230844e-06,1.2798793102969294e-06
74,6.5684114674956725e-06,1.220289928427123e-06
75,6.651928833008717e-06,1.1797645840859725e-06
76,6.706461829885042e-06,1.1493906743798443e-06
77,6.74356117868309e-06,1.1255099749968884e-06
78,6.769929411117274e-06,1.1062430973878687e-06
79,6.789455110321447e-06,1.0904391406382057e-06
80,6.804437458626531e-06,1.0773164616623448e-06
81,6.816276667071616e-06,1.0663145403083887e-06
82,6.825855906434112e-06,1.057019159444462e-06
83,6.83375326774056e-06,1.0491181253350715e-06
84,6.840361248387992e-06,1.0423724255218045e-06
85,6.8459556940212366e-06,1.0365964622851475e-06
86,6.850736706226541e-06,1.031644133784836e-06
87,6.854853667192986e-06,1.0273988702644945e-06
88,6.858421030517073e-06,1.0237664146432487e-06
89,6.86152858678138e-06,1.0206695372923851e-06
90,6.8642483205707615e-06,1.0180441301878654e-06
91,6.866639098507262e-06,1.0158362952567655e-06
92,6.868749934541405e-06,1.014000156490025e-06
93,6.87062229482973e-06,1.012496203713985e-06
94,6.8722917371790766e-06,1.01129002969376e-06
95,6.8737890789523544e-06,1.0103513594393161e-06
96,6.875141224748641e-06,1.0096532966015283e-06
97,6.876371745445086e-06,1.0091717303605785e-06
98,6.8775012743087e-06,1.008884859722584e-06
99,6.878547768556567e-06,1.0087728023332386e-06
100,6.87952667279567e-06,1.0088172628979813e-06
101,6.880451012284779e-06,1.0090012427745626e-06
102,6.881331437746862e-06,1.009308777704329e-06
103,6.882176238778143e-06,1.009724695210492e-06
104,6.882991339265759e-06,1.0102343870259082e-06
105,6.8837802853055735e-06,1.010823595050875e-06
106,6.884544233651144e-06,1.0114782117702636e-06
107,6.885281946512616e-06,1.0121840977470456e-06
108,6.885989796372839e-06,1.0129269197245151e-06
109,6.8866617822258835e-06,1.0136920129963244e-06
110,6.887289556118559e-06,1.0144642710531844e-06
111,6.8878624559553604e-06,1.0152280641359147e-06
112,6.888367537097473e-06,1.0159671863065635e-06
113,6.888789591237154e-06,1.0166648281254916e-06
114,6.889111136226285e-06,1.0173035691618457e-06
115,6.889312354769197e-06,1.017865381560001e-06
116,6.889370952774778e-06,1.018331632930634e-06
117,6.889261899010488e-06,1.0186830741077569e-06
118,6.888956995282862e-06,1.0188997949509122e-06
119,6.888424208540168e-06,1.0189611294777743e-06
120,6.88762666933785e-06,1.018845490299009e-06
121,6.886521198553408e-06,1.0185301118523283e-06
122,6.885056154634966e-06,1.0179906830194178e-06
123,6.883168276313621e-06,1.0172008542473672e-06
124,6.880777992247465e-06,1.016131616841283e-06
125,6.877782306717942e-06,1.014750583067659e-06
126,6.874043708146339e-06,1.0130212682164935e-06
127,6.869372306007409e-06,1.010902640157273e-06
128,6.8634960220299415e-06,1.008349566712327e-06
129,6.856009005723088e-06,1.0053155884694362e-06
130,6.846279176675759e-06,1.001761166928442e-06
131,6.833277085872603e-06,9.976742394812126e-07
132,6.81525007959995e-06,9.931176995659734e-07
133,6.789086932057977e-06,9.883347197331733e-07
134,6.7490536193315955e-06,9.83976756320196e-07
135,6.684231875875507e-06,9.815900951030913e-07
136,6.573244681377982e-06,9.846437358447267e-07
137,6.373432007104029e-06,1.0005759138088531e-06
138,6.001912720072965e-06,1.0428246683922221e-06
139,5.346179315271333e-06,1.1055780990088728e-06
140,5.276439665954767e-06,2.4459244025946154e-06
141,5.73906720067758e-06,1.846202723073693e-06
142,6.032655026203795e-06,1.5608422960874274e-06
143,6.239880871915835e-06,1.4158204758088e-06
144,6.384345562522819e-06,1.331048307913509e-06
145,6.4838192250034595e-06,1.2732395014943564e-06
146,6.552977247558727e-06,1.2294803533891115e-06
147,6.6022761204337665e-06,1.1945017857138484e-06
148,6.63854181401576e-06,1.1657851792457133e-06
149,6.666080058332756e-06,1.1418658934982136e-06
150,6.687599749318505e-06,1.1217549897925455e-06
151,6.704831442453861e-06,1.1047276164727132e-06
152,6.718908603178531e-06,1.090231490771971e-06
153,6.7305957675047274e-06,1.077837698407277e-06
154,6.7404246531265715e-06,1.0672091326958967e-06
155,6.748776281722738e-06,1.0580781764976741e-06
156,6.7559315055849154e-06,1.050230249487871e-06
157,6.762102847436805e-06,1.0434914890550904e-06
158,6.7674550838891735e-06,1.0377194703172883e-06
159,6.77211888972818e-06,1.0327961917565528e-06
160,6.7762000921067e-06,1.028622757119532e-06
161,6.779786070921085e-06,1.025115330163722e-06
162,6.782950253254832e-06,1.0222020467293726e-06
163,6.78575530183094e-06,1.0198206484291358e-06
164,6.788255387546421e-06,1.0179166608672884e-06
165,6.790497806857243e-06,1.0164419821730736e-06
166,6.792524123301886e-06,1.0153537790846919e-06
167,6.794370959857999e-06,1.0146136111863696e-06
168,6.796070533982065e-06,1.0141867216586015e-06
169,6.7976510034384424e-06,1.0140414468220998e-06
170,6.799136674366204e-06,1.014148708050606e-06
171,6.800548111011867e-06,1.0144815590807776e-06
172,6.8019021776654534e-06,1.0150147698285466e-06
173,6.80321203662836e-06,1.0157244347785425e-06
174,6.804487120888125e-06,1.0165875999458e-06
175,6.805733096128128e-06,1.017581907324079e-06
176,6.806951823395502e-06,1.0186852595895875e-06
177,6.808141330861384e-06,1.0198755105600945e-06
178,6.809295800322399e-06,1.0211301884594136e-06
179,6.8104055711113146e-06,1.0224262593722953e-06
180,6.811457160628118e-06,1.023739937403166e-06
181,6.812433296519419e-06,1.0250465460406197e-06
182,6.813312950405347e-06,1.0263204322164667e-06
183,6.814071356780536e-06,1.027534930752184e-06
184,6.814679993082309e-06,1.0286623726067059e-06
185,6.815106487613406e-06,1.0296741259516347e-06
186,6.815314410492096e-06,1.030540655038855e-06
187,6.815262888107196e-06,1.0312315785804039e-06
188,6.81490596193839e-06,1.0317157074904483e-06
189,6.814191585009207e-06,1.0319610420507965e-06
190,6.813060108391732e-06,1.0319347119147617e-06
191,6.811442046969865e-06,1.0316028507337884e-06
192,6.809254812244405e-06,1.0309304142207984e-06
193,6.806397932310485e-06,1.0298809834936286e-06
194,6.802745994735799e-06,1.0284166594623522e-06
195,6.7981380539532365e-06,1.0264982789886398e-06
196,6.792361366686712e-06,1.0240864303976957e-06
197,6.785125725062589e-06,1.021144236988692e-06
198,6.7760217082698685e-06,1.017643857177907e-06
199,6.764450629681106e-06,1.0135806042172155e-06
200,6.74950340601147e-06,1.009002465123055e-06
201,6.7297453558013055e-06,1.004070396290564e-06
202,6.702825189331991e-06,9.99179303521273e-07
203,6.66475312776277e-06,9.951959326736215e-07
204,6.608560054775631e-06,9.93910753506437e-07
205,6.521840441875997e-06,9.988275169869242e-07
206,6.382540152729803e-06,1.0161925593931301e-06
207,6.153448033704948e-06,1.0543837109934185e-06
208,5.784052488053344e-06,1.1108802116898303e-06
209,5.258024366990229e-06,1.112681336095381e-06
210,5.230989636886196e-06,2.5728418750407306e-06
211,5.628359187593489e-06,2.0184933211564453e-06
212,5.888580789583094e-06,1.7093944908634197e-06
213,6.082324563349331e-06,1.5342241877762793e-06
214,6.227651077023283e-06,1.4272858877249478e-06
215,6.334767762155663e-06,1.3541792477085777e-06
216,6.413301703022975e-06,1.2990375906370988e-06
217,6.471468486291097e-06,1.2548370658846356e-06
218,6.5154121055601985e-06,1.218267397318091e-06
219,6.549397106513684e-06,1.1875223346907081e-06
220,6.576292376934618e-06,1.161442547244675e-06
221,6.5980195400852025e-06,1.139192468297621e-06
222,6.615880582917938e-06,1.1201314088363875e-06
223,6.630775601000636e-06,1.1037536683158541e-06
224,6.643342124985362e-06,1.0896543450089142e-06
225,6.654043420713818e-06,1.0775062483465875e-06
226,6.6632247860053125e-06,1.0670428267457194e-06
227,6.671149969319795e-06,1.0580450802418037e-06
228,6.678025175257286e-06,1.050331420273439e-06
229,6.684015206718027e-06,1.0437498006207486e-06
230,6.689254527019953e-06,1.038171615756021e-06
231,6.693854965327498e-06,1.0334869737619652e-06
232,6.697911151390108e-06,1.0296010350018134e-06
233,6.701504378739665e-06,1.02643117408728e-06
234,6.704705357400359e-06,1.0239047748620051e-06
235,6.707576168077179e-06,1.021957508679679e-06
236,6.710171634538269e-06,1.0205319776761128e-06
237,6.712540268625475e-06,1.0195766292708434e-06
238,6.714724900520505e-06,1.0190448676749022e-06
239,6.7167630780153685e-06,1.0188943041796572e-06
240,6.7186872980025996e-06,1.019086101488982e-06
241,6.720525118419232e-06,1.0195843790050914e-06
242,6.7222991877325985e-06,1.020355656176557e-06
243,6.724027220665806e-06,1.021368319950293e-06
244,6.725721942505074e-06,1.0225921100857955e-06
245,6.727391019471364e-06,1.0239976225545392e-06
246,6.729036988815692e-06,1.0255558363820083e-06
247,6.730657199072314e-06,1.0272376730019974e-06
248,6.73224376783853e-06,1.0290135993994168e-06
249,6.733783561106466e-06,1.0308532869653676e-06
250,6.735258194129365e-06,1.0327253370749942e-06
251,6.736644048675054e-06,1.0345970819987142e-06
